,Timestamp,Teams_x,Fanduel_odds_x,Draftkings_odds_x,BetMGM_odds_x,Teams_y,Fanduel_odds_y,Draftkings_odds_y,BetMGM_odds_y
0,2024-03-23,ATL,1.27,1.28,1.29,CHO,4.0,3.8,3.6
1,2024-03-23,CHO,4.0,3.8,3.6,ATL,1.27,1.28,1.29
2,2024-03-23,BRK,3.4,3.4,3.4,NYK,1.34,1.34,1.33
3,2024-03-23,NYK,1.34,1.34,1.33,BRK,3.4,3.4,3.4
4,2024-03-23,TOR,2.94,2.9,2.8,WAS,1.43,1.43,1.44
5,2024-03-23,WAS,1.43,1.43,1.44,TOR,2.94,2.9,2.8
6,2024-03-23,DEN,1.12,1.12,1.12,POR,6.9,6.75,6.5
7,2024-03-23,POR,6.9,6.75,6.5,DEN,1.12,1.12,1.12
8,2024-03-23,PHO,1.21,1.21,1.2,SAS,4.7,4.7,4.75
9,2024-03-23,SAS,4.7,4.7,4.75,PHO,1.21,1.21,1.2
10,2024-03-23,ORL,1.72,1.74,1.69,SAC,2.18,2.14,2.2
11,2024-03-23,SAC,2.18,2.14,2.2,ORL,1.72,1.74,1.69
12,2024-03-23,HOU,1.17,1.17,1.17,UTA,5.3,5.28,5.25
13,2024-03-23,UTA,5.3,5.28,5.25,HOU,1.17,1.17,1.17
14,2024-03-23,BOS,1.38,1.39,1.4,CHI,3.15,3.08,3.0
15,2024-03-23,CHI,3.15,3.08,3.0,BOS,1.38,1.39,1.4
16,2024-03-24,MIL,1.7,1.68,1.67,OKC,2.2,2.24,2.25
17,2024-03-24,OKC,2.2,2.24,2.25,MIL,1.7,1.68,1.67
18,2024-03-24,IND,2.38,2.3,2.25,LAL,1.61,1.65,1.65
19,2024-03-24,LAL,1.61,1.65,1.65,IND,2.38,2.3,2.25
20,2024-03-24,DET,6.0,6.0,6.0,NOP,1.14,1.14,1.14
21,2024-03-24,NOP,1.14,1.14,1.14,DET,6.0,6.0,6.0
22,2024-03-24,CLE,2.5,2.45,2.45,MIA,1.56,1.57,1.57
23,2024-03-24,MIA,1.56,1.57,1.57,CLE,2.5,2.45,2.45
24,2024-03-24,GSW,2.2,2.14,2.1,MIN,1.7,1.74,1.74
25,2024-03-24,MIN,1.7,1.74,1.74,GSW,2.2,2.14,2.1
26,2024-03-24,LAC,1.21,1.22,1.2,PHI,4.7,4.5,4.6
27,2024-03-24,PHI,4.7,4.5,4.6,LAC,1.21,1.22,1.2
28,2024-03-25,ATL,5.5,5.4,5.5,BOS,1.17,1.17,1.15
29,2024-03-25,BOS,1.17,1.17,1.15,ATL,5.5,5.4,5.5
30,2024-03-25,PHI,4.5,4.1,4.0,SAC,1.22,1.25,1.25
31,2024-03-25,SAC,1.22,1.25,1.25,PHI,4.5,4.1,4.0
32,2024-03-25,DET,11.4,10.0,10.0,NYK,1.05,1.06,1.06
33,2024-03-25,NYK,1.05,1.06,1.06,DET,11.4,10.0,10.0
34,2024-03-25,DEN,1.06,1.06,1.06,MEM,10.0,10.0,9.75
35,2024-03-25,MEM,10.0,10.0,9.75,DEN,1.06,1.06,1.06
36,2024-03-25,DAL,1.25,1.27,1.27,UTA,4.15,3.95,3.9
37,2024-03-25,UTA,4.15,3.95,3.9,DAL,1.25,1.27,1.27
38,2024-03-25,PHO,1.13,1.14,1.13,SAS,6.4,6.0,6.25
39,2024-03-25,SAS,6.4,6.0,6.25,PHO,1.13,1.14,1.13
40,2024-03-25,HOU,1.13,1.14,1.14,POR,6.4,6.0,6.0
41,2024-03-25,POR,6.4,6.0,6.0,HOU,1.13,1.14,1.14
42,2024-03-25,CHI,1.11,1.12,1.12,WAS,7.1,6.75,6.5
43,2024-03-25,WAS,7.1,6.75,6.5,CHI,1.11,1.12,1.12
44,2024-03-25,IND,2.98,2.85,2.85,LAC,1.42,1.44,1.44
45,2024-03-25,LAC,1.42,1.44,1.44,IND,2.98,2.85,2.85
46,2024-03-25,BRK,1.43,1.4,1.4,TOR,2.94,3.05,3.0
47,2024-03-25,TOR,2.94,3.05,3.0,BRK,1.43,1.4,1.4
48,2024-03-25,CHO,5.8,5.7,6.0,CLE,1.15,1.15,1.14
