,Timestamp,Teams_x,Fanduel_odds_x,Draftkings_odds_x,BetMGM_odds_x,Teams_y,Fanduel_odds_y,Draftkings_odds_y,BetMGM_odds_y
0,2021-01-20,HOU,2.88,2.88,2.9,PHO,1.44,1.43,1.4
1,2021-01-20,PHO,1.44,1.43,1.4,HOU,2.88,2.88,2.9
2,2021-01-20,MEM,1.86,1.89,2.0,POR,1.98,1.93,1.83
3,2021-01-20,POR,1.98,1.93,1.83,MEM,1.86,1.89,2.0
4,2021-01-20,GSW,1.86,1.88,1.83,SAS,1.98,1.94,2.0
5,2021-01-20,SAS,1.98,1.94,2.0,GSW,1.86,1.88,1.83
6,2021-01-20,MIN,2.32,2.3,2.35,ORL,1.64,1.65,1.62
7,2021-01-20,ORL,1.64,1.65,1.62,MIN,2.32,2.3,2.35
8,2021-01-20,BOS,2.72,2.55,2.55,PHI,1.49,1.54,1.53
9,2021-01-20,PHI,1.49,1.54,1.53,BOS,2.72,2.55,2.55
10,2021-01-20,BRK,1.18,1.19,1.18,CLE,5.2,4.9,5.0
11,2021-01-20,CLE,5.2,4.9,5.0,BRK,1.18,1.19,1.18
12,2021-01-20,LAC,1.19,1.19,1.18,SAC,5.0,4.9,5.0
13,2021-01-20,SAC,5.0,4.9,5.0,LAC,1.19,1.19,1.18
14,2021-01-20,ATL,1.52,1.56,1.5,DET,2.62,2.48,2.65
15,2021-01-20,DET,2.62,2.48,2.65,ATL,1.52,1.56,1.5
16,2021-01-20,DAL,1.85,1.88,1.83,IND,2.0,1.94,2.0
17,2021-01-20,IND,2.0,1.94,2.0,DAL,1.85,1.88,1.83
18,2021-01-20,MIA,2.5,2.43,2.55,TOR,1.56,1.57,1.53
19,2021-01-20,TOR,1.56,1.57,1.53,MIA,2.5,2.43,2.55
20,2021-01-21,GSW,1.52,1.56,1.53,NYK,2.62,2.48,2.55
21,2021-01-21,NYK,2.62,2.48,2.55,GSW,1.52,1.56,1.53
22,2021-01-21,LAL,2.02,1.94,1.95,MIL,1.83,1.88,1.87
23,2021-01-21,MIL,1.83,1.88,1.87,LAL,2.02,1.94,1.95
24,2021-01-21,NOP,3.2,3.25,3.0,UTA,1.37,1.36,1.4
25,2021-01-21,UTA,1.37,1.36,1.4,NOP,3.2,3.25,3.0
26,2021-01-22,CHO,1.64,1.68,1.65,CHI,2.32,2.23,2.25
27,2021-01-22,CHI,2.32,2.23,2.25,CHO,1.64,1.68,1.65
28,2021-01-22,BOS,2.5,2.48,2.55,PHI,1.56,1.56,1.53
29,2021-01-22,PHI,1.56,1.56,1.53,BOS,2.5,2.48,2.55
30,2021-01-22,DET,1.65,1.7,1.67,HOU,2.3,2.23,2.25
31,2021-01-22,HOU,2.3,2.23,2.25,DET,1.65,1.7,1.67
32,2021-01-22,NYK,2.46,2.43,2.45,SAC,1.57,1.57,1.57
33,2021-01-22,SAC,1.57,1.57,1.57,NYK,2.46,2.43,2.45
34,2021-01-22,BRK,1.36,1.36,1.33,CLE,3.3,3.25,3.4
35,2021-01-22,CLE,3.3,3.25,3.4,BRK,1.36,1.36,1.33
36,2021-01-22,MIA,2.28,2.14,2.15,TOR,1.66,1.74,1.71
37,2021-01-22,TOR,1.66,1.74,1.71,MIA,2.28,2.14,2.15
38,2021-01-22,ATL,1.44,1.43,1.4,MIN,2.88,2.88,3.0
39,2021-01-22,MIN,2.88,2.88,3.0,ATL,1.44,1.43,1.4
40,2021-01-22,IND,1.57,1.56,1.57,ORL,2.46,2.45,2.45
41,2021-01-22,ORL,2.46,2.45,2.45,IND,1.57,1.56,1.57
42,2021-01-22,DEN,1.98,1.94,2.0,PHO,1.86,1.88,1.83
43,2021-01-22,PHO,1.86,1.88,1.83,DEN,1.98,1.94,2.0
44,2021-01-22,DAL,1.75,1.72,1.74,SAS,2.14,2.17,2.1
45,2021-01-22,SAS,2.14,2.17,2.1,DAL,1.75,1.72,1.74
46,2021-01-22,LAC,1.08,1.07,1.11,OKC,8.5,9.0,6.75
47,2021-01-22,OKC,8.5,9.0,6.75,LAC,1.08,1.07,1.11
48,2021-01-23,CHI,4.6,4.5,4.2,LAL,1.22,1.22,1.25
49,2021-01-23,LAL,1.22,1.22,1.25,CHI,4.6,4.5,4.2
50,2021-01-23,DAL,1.24,1.22,1.25,HOU,4.3,4.5,4.1
51,2021-01-23,HOU,4.3,4.5,4.1,DAL,1.24,1.22,1.25
52,2021-01-23,DET,3.35,3.25,3.4,PHI,1.34,1.36,1.33
53,2021-01-23,PHI,1.34,1.36,1.33,DET,3.35,3.25,3.4
54,2021-01-23,GSW,3.45,3.25,3.3,UTA,1.33,1.36,1.36
55,2021-01-23,UTA,1.33,1.36,1.36,GSW,3.45,3.25,3.3
56,2021-01-23,BRK,1.3,1.36,1.33,MIA,3.65,3.25,3.4
57,2021-01-23,MIA,3.65,3.25,3.4,BRK,1.3,1.36,1.33
58,2021-01-23,DEN,1.69,1.74,1.71,PHO,2.22,2.14,2.15
59,2021-01-23,PHO,2.22,2.14,2.15,DEN,1.69,1.74,1.71
60,2021-01-23,MIN,3.65,3.7,3.6,NOP,1.3,1.3,1.29
61,2021-01-23,NOP,1.3,1.3,1.29,MIN,3.65,3.7,3.6
62,2021-01-24,SAS,1.34,1.33,1.36,WAS,3.4,3.5,3.25
63,2021-01-24,WAS,3.4,3.5,3.25,SAS,1.34,1.33,1.36
64,2021-01-24,ATL,3.75,3.95,3.75,MIL,1.29,1.27,1.29
65,2021-01-24,MIL,1.29,1.27,1.29,ATL,3.75,3.95,3.75
66,2021-01-24,LAC,1.09,1.09,1.1,OKC,8.3,8.0,7.25
67,2021-01-24,OKC,8.3,8.0,7.25,LAC,1.09,1.09,1.1
68,2021-01-24,BOS,1.42,1.43,1.36,CLE,2.98,2.88,3.2
69,2021-01-24,CLE,2.98,2.88,3.2,BOS,1.42,1.43,1.36
70,2021-01-24,CHO,1.98,1.94,2.0,ORL,1.86,1.88,1.83
71,2021-01-24,ORL,1.86,1.88,1.83,CHO,1.98,1.94,2.0
72,2021-01-24,IND,1.72,1.8,1.71,TOR,2.18,2.05,2.15
73,2021-01-24,TOR,2.18,2.05,2.15,IND,1.72,1.8,1.71
74,2021-01-24,NYK,2.46,2.38,2.4,POR,1.57,1.61,1.61
75,2021-01-24,POR,1.57,1.61,1.61,NYK,2.46,2.38,2.4
76,2021-01-25,GSW,1.27,1.27,1.27,MIN,3.95,3.95,3.9
77,2021-01-25,MIN,3.95,3.95,3.9,GSW,1.27,1.27,1.27
78,2021-01-25,CHO,1.93,1.89,2.0,ORL,1.93,1.93,1.83
79,2021-01-25,ORL,1.93,1.93,1.83,CHO,1.93,1.89,2.0
80,2021-01-25,BRK,1.3,1.33,1.29,MIA,3.65,3.45,3.6
81,2021-01-25,MIA,3.65,3.45,3.6,BRK,1.3,1.33,1.29
82,2021-01-25,DET,3.1,3.05,3.0,PHI,1.39,1.4,1.4
83,2021-01-25,PHI,1.39,1.4,1.4,DET,3.1,3.05,3.0
84,2021-01-25,OKC,2.84,2.75,2.8,POR,1.45,1.48,1.44
85,2021-01-25,POR,1.45,1.48,1.44,OKC,2.84,2.75,2.8
86,2021-01-25,CLE,5.2,5.3,5.25,LAL,1.18,1.17,1.17
87,2021-01-25,LAL,1.18,1.17,1.17,CLE,5.2,5.3,5.25
88,2021-01-25,IND,1.74,1.74,1.74,TOR,2.16,2.14,2.1
89,2021-01-25,TOR,2.16,2.14,2.1,IND,1.74,1.74,1.74
90,2021-01-25,DET,4.6,,4.6,LAL,1.22,,1.22
91,2021-01-25,LAL,1.22,,1.22,DET,4.6,,4.6
92,2021-01-25,BOS,1.57,1.57,1.57,CHI,2.48,2.43,2.45
93,2021-01-25,CHI,2.48,2.43,2.45,BOS,1.57,1.57,1.57
94,2021-01-25,DAL,2.02,2.02,2.05,DEN,1.83,1.83,1.8
95,2021-01-25,DEN,1.83,1.83,1.8,DAL,2.02,2.02,2.05
96,2021-01-25,NOP,1.7,1.74,1.71,SAS,2.2,2.14,2.15
97,2021-01-25,SAS,2.2,2.14,2.15,NOP,1.7,1.74,1.71
98,2021-01-26,NYK,5.8,5.8,6.25,UTA,1.15,1.15,1.13
99,2021-01-26,UTA,1.15,1.15,1.13,NYK,5.8,5.8,6.25
100,2021-01-26,HOU,1.61,1.65,1.62,WAS,2.38,2.3,2.35
101,2021-01-26,WAS,2.38,2.3,2.35,HOU,1.61,1.65,1.62
102,2021-01-26,ATL,1.5,1.48,1.53,LAC,2.68,2.7,2.55
103,2021-01-26,LAC,2.68,2.7,2.55,ATL,1.5,1.48,1.53
104,2021-01-27,BOS,1.56,1.61,1.57,SAS,2.52,2.38,2.45
105,2021-01-27,SAS,2.52,2.38,2.45,BOS,1.56,1.61,1.57
106,2021-01-27,LAL,1.61,1.65,1.62,PHI,2.38,2.3,2.35
107,2021-01-27,PHI,2.38,2.3,2.35,LAL,1.61,1.65,1.62
108,2021-01-27,ORL,1.86,1.83,1.83,SAC,1.98,2.02,2.0
109,2021-01-27,SAC,1.98,2.02,2.0,ORL,1.86,1.83,1.83
110,2021-01-27,GSW,1.26,1.27,1.25,MIN,4.1,3.95,4.1
111,2021-01-27,MIN,4.1,3.95,4.1,GSW,1.26,1.27,1.25
112,2021-01-27,OKC,3.6,3.25,3.4,PHO,1.31,1.36,1.33
113,2021-01-27,PHO,1.31,1.36,1.33,OKC,3.6,3.25,3.4
