,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,fgmaxes,fgamaxes,fg%maxes,3pmaxes,3pamaxes,3p%maxes,ftmaxes,ftamaxes,ft%maxes,orbmaxes,drbmaxes,trbmaxes,astmaxes,stlmaxes,blkmaxes,tovmaxes,pfmaxes,ptsmaxes,+/-maxes,ts%maxes,efg%maxes,3parmaxes,ftrmaxes,orb%maxes,drb%maxes,trb%maxes,ast%maxes,stl%maxes,blk%maxes,tov%maxes,usg%maxes,ortgmaxes,drtgmaxes,Teams,Total,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,Wins,Losses,home,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,fgmaxes_opp,fgamaxes_opp,fg%maxes_opp,3pmaxes_opp,3pamaxes_opp,3p%maxes_opp,ftmaxes_opp,ftamaxes_opp,ft%maxes_opp,orbmaxes_opp,drbmaxes_opp,trbmaxes_opp,astmaxes_opp,stlmaxes_opp,blkmaxes_opp,tovmaxes_opp,pfmaxes_opp,ptsmaxes_opp,+/-maxes_opp,ts%maxes_opp,efg%maxes_opp,3parmaxes_opp,ftrmaxes_opp,orb%maxes_opp,drb%maxes_opp,trb%maxes_opp,ast%maxes_opp,stl%maxes_opp,blk%maxes_opp,tov%maxes_opp,usg%maxes_opp,ortgmaxes_opp,drtgmaxes_opp,Teams_opp,Total_opp,Pace_opp,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp,ORtg_opp,Wins_opp,Losses_opp,home_opp,season,date,won
0,240.0,33.0,91.0,0.363,10.0,37.0,0.27,24.0,37.0,0.649,16.0,29.0,45.0,21.0,12.0,6.0,14.0,21.0,100.0,0.466,0.418,0.407,0.407,28.1,63.0,43.7,63.6,11.7,8.7,11.5,100.0,97.7,105.6,9.0,23.0,0.5,4.0,12.0,0.333,5.0,8.0,0.833,4.0,7.0,11.0,6.0,4.0,3.0,5.0,4.0,27.0,5.0,0.548,0.5,1.0,1.0,20.4,33.7,26.3,36.5,5.4,7.2,33.3,33.4,142.0,114.0,OKC,100,102.3,0.418,11.5,28.1,0.264,97.7,0,1,0,240.0,42.0,95.0,0.442,7.0,26.0,0.269,17.0,18.0,0.944,17.0,41.0,58.0,28.0,7.0,7.0,21.0,29.0,108.0,0.525,0.479,0.274,0.189,37.0,71.9,56.3,66.7,6.8,13.0,16.9,100.0,105.6,97.7,11.0,21.0,0.857,5.0,9.0,1.0,9.0,10.0,1.0,8.0,12.0,13.0,9.0,3.0,3.0,6.0,4.0,32.0,23.0,0.857,0.857,1.0,0.476,46.2,41.0,25.8,42.8,4.3,13.4,100.0,29.2,220.0,110.0,GSW,108,102.3,0.479,16.9,37.0,0.179,105.6,1,0,1,2019,2018-10-16,False
1,240.0,42.0,95.0,0.442,7.0,26.0,0.269,17.0,18.0,0.944,17.0,41.0,58.0,28.0,7.0,7.0,21.0,29.0,108.0,0.525,0.479,0.274,0.189,37.0,71.9,56.3,66.7,6.8,13.0,16.9,100.0,105.6,97.7,11.0,21.0,0.857,5.0,9.0,1.0,9.0,10.0,1.0,8.0,12.0,13.0,9.0,3.0,3.0,6.0,4.0,32.0,23.0,0.857,0.857,1.0,0.476,46.2,41.0,25.8,42.8,4.3,13.4,100.0,29.2,220.0,110.0,GSW,108,102.3,0.479,16.9,37.0,0.179,105.6,1,0,1,240.0,33.0,91.0,0.363,10.0,37.0,0.27,24.0,37.0,0.649,16.0,29.0,45.0,21.0,12.0,6.0,14.0,21.0,100.0,0.466,0.418,0.407,0.407,28.1,63.0,43.7,63.6,11.7,8.7,11.5,100.0,97.7,105.6,9.0,23.0,0.5,4.0,12.0,0.333,5.0,8.0,0.833,4.0,7.0,11.0,6.0,4.0,3.0,5.0,4.0,27.0,5.0,0.548,0.5,1.0,1.0,20.4,33.7,26.3,36.5,5.4,7.2,33.3,33.4,142.0,114.0,OKC,100,102.3,0.418,11.5,28.1,0.264,97.7,0,1,0,2019,2018-10-16,True
2,240.0,34.0,87.0,0.391,5.0,26.0,0.192,14.0,23.0,0.609,6.0,41.0,47.0,18.0,8.0,5.0,16.0,20.0,87.0,0.448,0.42,0.299,0.264,12.2,77.4,46.1,52.9,7.7,8.3,14.1,100.0,83.4,100.7,9.0,21.0,1.0,2.0,8.0,0.286,5.0,10.0,0.8,3.0,12.0,15.0,8.0,4.0,2.0,5.0,5.0,23.0,-2.0,0.906,1.0,0.7,4.0,6.9,25.4,16.5,34.4,4.3,4.3,27.6,32.5,193.0,111.0,PHI,87,104.3,0.42,14.1,12.2,0.161,83.4,0,1,0,240.0,42.0,97.0,0.433,11.0,37.0,0.297,10.0,14.0,0.714,12.0,43.0,55.0,21.0,7.0,5.0,14.0,20.0,105.0,0.509,0.49,0.381,0.144,22.6,87.8,53.9,50.0,6.7,8.2,11.9,100.0,100.7,83.4,9.0,17.0,1.0,2.0,8.0,0.5,4.0,5.0,1.0,3.0,8.0,10.0,7.0,4.0,4.0,3.0,5.0,23.0,22.0,1.0,1.0,1.0,0.5,14.1,100.0,57.6,29.9,7.5,10.5,29.1,50.2,200.0,91.0,BOS,105,104.3,0.49,11.9,22.6,0.103,100.7,1,0,1,2019,2018-10-16,False
3,240.0,42.0,97.0,0.433,11.0,37.0,0.297,10.0,14.0,0.714,12.0,43.0,55.0,21.0,7.0,5.0,14.0,20.0,105.0,0.509,0.49,0.381,0.144,22.6,87.8,53.9,50.0,6.7,8.2,11.9,100.0,100.7,83.4,9.0,17.0,1.0,2.0,8.0,0.5,4.0,5.0,1.0,3.0,8.0,10.0,7.0,4.0,4.0,3.0,5.0,23.0,22.0,1.0,1.0,1.0,0.5,14.1,100.0,57.6,29.9,7.5,10.5,29.1,50.2,200.0,91.0,BOS,105,104.3,0.49,11.9,22.6,0.103,100.7,1,0,1,240.0,34.0,87.0,0.391,5.0,26.0,0.192,14.0,23.0,0.609,6.0,41.0,47.0,18.0,8.0,5.0,16.0,20.0,87.0,0.448,0.42,0.299,0.264,12.2,77.4,46.1,52.9,7.7,8.3,14.1,100.0,83.4,100.7,9.0,21.0,1.0,2.0,8.0,0.286,5.0,10.0,0.8,3.0,12.0,15.0,8.0,4.0,2.0,5.0,5.0,23.0,-2.0,0.906,1.0,0.7,4.0,6.9,25.4,16.5,34.4,4.3,4.3,27.6,32.5,193.0,111.0,PHI,87,104.3,0.42,14.1,12.2,0.161,83.4,0,1,0,2019,2018-10-16,True
4,240.0,38.0,88.0,0.432,10.0,33.0,0.303,14.0,20.0,0.7,10.0,28.0,38.0,28.0,7.0,5.0,9.0,16.0,100.0,0.517,0.489,0.375,0.227,20.8,82.4,46.3,73.7,7.6,10.6,8.5,100.0,108.0,130.6,6.0,19.0,1.0,2.0,7.0,1.0,5.0,6.0,1.0,4.0,8.0,12.0,10.0,3.0,3.0,4.0,5.0,16.0,2.0,1.333,1.333,1.0,0.75,13.1,37.0,23.0,74.9,5.6,10.1,25.0,34.2,153.0,139.0,DAL,100,92.6,0.489,8.5,20.8,0.159,108.0,0,1,0,240.0,44.0,81.0,0.543,19.0,34.0,0.559,14.0,16.0,0.875,6.0,38.0,44.0,35.0,5.0,2.0,11.0,22.0,121.0,0.687,0.66,0.42,0.198,17.6,79.2,53.7,79.5,5.4,3.6,11.1,100.0,130.6,108.0,12.0,19.0,0.727,6.0,10.0,0.75,5.0,6.0,1.0,3.0,9.0,10.0,7.0,2.0,1.0,3.0,4.0,35.0,25.0,0.815,0.792,0.75,0.333,34.2,43.4,25.4,37.5,4.5,3.1,20.2,35.7,241.0,116.0,PHO,121,92.6,0.66,11.1,17.6,0.173,130.6,1,0,1,2019,2018-10-17,False
5,240.0,39.0,91.0,0.429,6.0,19.0,0.316,24.0,27.0,0.889,14.0,32.0,46.0,20.0,9.0,2.0,11.0,27.0,108.0,0.525,0.462,0.209,0.297,29.8,62.7,46.9,51.3,9.4,2.9,9.7,100.0,112.7,116.8,9.0,23.0,0.75,2.0,6.0,0.667,9.0,9.0,1.0,3.0,9.0,11.0,4.0,4.0,1.0,3.0,6.0,27.0,1.0,0.846,0.75,0.333,0.75,12.7,31.4,20.0,22.7,6.3,2.9,29.1,34.9,158.0,128.0,MIN,108,95.8,0.462,9.7,29.8,0.264,112.7,0,1,0,240.0,40.0,93.0,0.43,11.0,25.0,0.44,21.0,29.0,0.724,19.0,33.0,52.0,22.0,3.0,4.0,12.0,22.0,112.0,0.53,0.489,0.269,0.312,37.3,70.2,53.1,55.0,3.1,5.6,10.2,100.0,116.8,112.7,10.0,23.0,0.75,3.0,6.0,1.0,7.0,11.0,1.0,8.0,11.0,19.0,6.0,2.0,3.0,3.0,5.0,28.0,7.0,1.125,1.125,1.0,0.524,47.9,27.0,24.9,43.9,3.3,4.8,33.3,30.8,227.0,120.0,SAS,112,95.8,0.489,10.2,37.3,0.226,116.8,1,0,1,2019,2018-10-17,False
6,240.0,40.0,93.0,0.43,11.0,25.0,0.44,21.0,29.0,0.724,19.0,33.0,52.0,22.0,3.0,4.0,12.0,22.0,112.0,0.53,0.489,0.269,0.312,37.3,70.2,53.1,55.0,3.1,5.6,10.2,100.0,116.8,112.7,10.0,23.0,0.75,3.0,6.0,1.0,7.0,11.0,1.0,8.0,11.0,19.0,6.0,2.0,3.0,3.0,5.0,28.0,7.0,1.125,1.125,1.0,0.524,47.9,27.0,24.9,43.9,3.3,4.8,33.3,30.8,227.0,120.0,SAS,112,95.8,0.489,10.2,37.3,0.226,116.8,1,0,1,240.0,39.0,91.0,0.429,6.0,19.0,0.316,24.0,27.0,0.889,14.0,32.0,46.0,20.0,9.0,2.0,11.0,27.0,108.0,0.525,0.462,0.209,0.297,29.8,62.7,46.9,51.3,9.4,2.9,9.7,100.0,112.7,116.8,9.0,23.0,0.75,2.0,6.0,0.667,9.0,9.0,1.0,3.0,9.0,11.0,4.0,4.0,1.0,3.0,6.0,27.0,1.0,0.846,0.75,0.333,0.75,12.7,31.4,20.0,22.7,6.3,2.9,29.1,34.9,158.0,128.0,MIN,108,95.8,0.462,9.7,29.8,0.264,112.7,0,1,0,2019,2018-10-17,True
7,240.0,39.0,94.0,0.415,7.0,25.0,0.28,19.0,31.0,0.613,14.0,37.0,51.0,20.0,7.0,7.0,12.0,25.0,104.0,0.483,0.452,0.266,0.33,26.9,72.5,49.5,51.3,6.8,10.9,10.0,100.0,100.5,97.6,9.0,18.0,0.75,4.0,5.0,1.0,4.0,6.0,1.0,4.0,12.0,16.0,5.0,2.0,4.0,4.0,4.0,26.0,16.0,0.732,0.813,0.444,0.545,14.8,29.5,19.5,35.4,3.6,11.7,22.0,31.8,150.0,103.0,ORL,104,103.5,0.452,10.0,26.9,0.202,100.5,1,0,1,240.0,38.0,97.0,0.392,9.0,33.0,0.273,16.0,22.0,0.727,14.0,38.0,52.0,16.0,4.0,5.0,16.0,28.0,101.0,0.473,0.438,0.34,0.227,27.5,73.1,50.5,42.1,3.9,7.2,13.0,100.0,97.6,100.5,9.0,21.0,0.643,3.0,10.0,0.5,5.0,7.0,1.0,5.0,14.0,18.0,4.0,1.0,2.0,4.0,6.0,26.0,20.0,0.761,0.75,0.75,0.5,18.1,38.5,25.0,23.5,2.1,4.1,28.6,28.2,135.0,108.0,MIA,101,103.5,0.438,13.0,27.5,0.165,97.6,0,1,0,2019,2018-10-17,True
8,240.0,38.0,97.0,0.392,9.0,33.0,0.273,16.0,22.0,0.727,14.0,38.0,52.0,16.0,4.0,5.0,16.0,28.0,101.0,0.473,0.438,0.34,0.227,27.5,73.1,50.5,42.1,3.9,7.2,13.0,100.0,97.6,100.5,9.0,21.0,0.643,3.0,10.0,0.5,5.0,7.0,1.0,5.0,14.0,18.0,4.0,1.0,2.0,4.0,6.0,26.0,20.0,0.761,0.75,0.75,0.5,18.1,38.5,25.0,23.5,2.1,4.1,28.6,28.2,135.0,108.0,MIA,101,103.5,0.438,13.0,27.5,0.165,97.6,0,1,0,240.0,39.0,94.0,0.415,7.0,25.0,0.28,19.0,31.0,0.613,14.0,37.0,51.0,20.0,7.0,7.0,12.0,25.0,104.0,0.483,0.452,0.266,0.33,26.9,72.5,49.5,51.3,6.8,10.9,10.0,100.0,100.5,97.6,9.0,18.0,0.75,4.0,5.0,1.0,4.0,6.0,1.0,4.0,12.0,16.0,5.0,2.0,4.0,4.0,4.0,26.0,16.0,0.732,0.813,0.444,0.545,14.8,29.5,19.5,35.4,3.6,11.7,22.0,31.8,150.0,103.0,ORL,104,103.5,0.452,10.0,26.9,0.202,100.5,1,0,1,2019,2018-10-17,False
9,240.0,47.0,83.0,0.566,10.0,26.0,0.385,7.0,13.0,0.538,13.0,44.0,57.0,29.0,2.0,7.0,20.0,24.0,111.0,0.626,0.627,0.313,0.157,38.2,86.3,67.1,61.7,2.1,12.7,18.4,100.0,118.7,88.8,7.0,12.0,0.778,3.0,6.0,1.0,2.0,2.0,1.0,6.0,9.0,15.0,6.0,1.0,4.0,3.0,4.0,19.0,28.0,1.136,0.944,1.0,0.222,35.6,47.5,42.7,77.2,2.1,17.1,37.5,33.4,232.0,99.0,IND,111,93.5,0.627,18.4,38.2,0.084,118.7,1,0,1,240.0,25.0,84.0,0.298,10.0,29.0,0.345,23.0,28.0,0.821,7.0,21.0,28.0,16.0,11.0,3.0,7.0,18.0,83.0,0.431,0.357,0.345,0.333,13.7,61.8,32.9,64.0,11.8,5.3,6.8,100.0,88.8,118.7,4.0,13.0,0.667,4.0,8.0,1.0,7.0,8.0,1.0,2.0,5.0,7.0,3.0,3.0,1.0,2.0,4.0,13.0,1.0,0.833,0.833,0.615,1.0,7.5,28.3,15.8,24.8,6.1,3.7,50.0,26.5,143.0,128.0,MEM,83,93.5,0.357,6.8,13.7,0.274,88.8,0,1,0,2019,2018-10-17,True
