TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Date
1610612738,Boston Celtics,1,1,0,1.0,48.0,98.9,100.0,81.2,82.1,17.7,17.9,0.5,1.4,15.0,0.25,0.825,0.54,0.143,0.49,0.509,106.6,105.5,87.92,105,0.595,1,1,1,1,1,2,1,1,4,1,2,3,1,2,1,1,2,1,1,10/16/2018
1610612744,Golden State Warriors,1,1,0,1.0,48.0,101.0,104.9,94.1,97.1,6.9,7.8,0.667,1.33,18.3,0.415,0.652,0.546,0.204,0.479,0.525,106.6,103.0,85.83,103,0.582,1,1,1,1,1,1,2,2,1,3,1,1,3,1,4,2,1,3,2,10/16/2018
1610612760,Oklahoma City Thunder,1,0,1,0.0,48.0,94.1,97.1,101.0,104.9,-6.9,-7.8,0.636,1.4,14.3,0.348,0.585,0.454,0.146,0.418,0.466,106.6,103.0,85.83,103,0.418,1,3,3,3,1,3,4,3,2,1,3,2,4,4,2,4,3,3,3,10/16/2018
1610612755,Philadelphia 76ers,1,0,1,0.0,48.0,81.2,82.1,98.9,100.0,-17.7,-17.9,0.529,1.13,13.4,0.175,0.75,0.46,0.151,0.42,0.448,106.6,105.5,87.92,106,0.405,1,3,3,3,1,4,3,4,3,4,4,4,2,3,3,3,4,1,4,10/16/2018
1610612737,Atlanta Hawks,1,0,1,0.0,48.0,93.1,94.7,106.2,112.5,-13.1,-17.8,0.463,0.79,13.2,0.235,0.69,0.477,0.212,0.511,0.546,116.8,112.5,93.75,113,0.405,1,14,14,14,1,23,19,23,24,26,22,18,16,16,26,11,10,1,23,10/17/2018
1610612738,Boston Celtics,1,1,0,1.0,48.0,98.9,100.0,81.2,82.1,17.7,17.9,0.5,1.4,15.0,0.25,0.825,0.54,0.143,0.49,0.509,106.6,105.5,87.92,105,0.595,1,1,1,1,1,19,1,3,20,16,14,15,3,9,14,13,18,5,3,10/17/2018
1610612751,Brooklyn Nets,1,0,1,0.0,48.0,94.6,99.0,98.4,103.0,-3.8,-4.0,0.7,1.47,20.0,0.261,0.655,0.475,0.188,0.518,0.545,105.2,100.5,83.75,101,0.523,1,14,14,14,1,20,11,17,3,14,5,14,19,17,22,9,12,17,12,10/17/2018
1610612766,Charlotte Hornets,1,0,1,0.0,48.0,108.0,107.7,108.9,109.7,-0.8,-2.0,0.512,1.91,15.6,0.193,0.696,0.417,0.106,0.533,0.551,103.7,103.5,86.25,104,0.473,1,14,14,14,1,11,18,15,18,5,9,23,15,25,5,8,9,11,16,10/17/2018
1610612739,Cleveland Cavaliers,1,0,1,0.0,48.0,99.8,104.0,112.8,116.0,-13.0,-12.0,0.5,1.06,12.3,0.362,0.788,0.564,0.16,0.441,0.509,103.5,100.0,83.33,100,0.415,1,14,14,14,1,15,24,21,20,24,25,4,7,4,19,21,17,19,21,10/17/2018
1610612742,Dallas Mavericks,1,0,1,0.0,48.0,104.4,105.3,128.7,127.4,-24.3,-22.1,0.737,3.11,20.6,0.245,0.838,0.489,0.095,0.489,0.517,94.9,95.0,79.17,95,0.408,1,14,14,14,1,13,26,25,2,1,3,16,2,14,2,15,16,25,22,10/17/2018
