TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD1,OPP_PTS_RANK,PLUS_MINUS_RANK,Date
1610612738,Boston Celtics,1,1,0,1.0,48.0,34.0,87.0,0.391,5.0,26.0,0.192,14.0,23.0,0.609,6.0,41.0,47.0,18.0,16.0,8.0,5.0,5.0,20.0,20.0,87.0,-18.0,1,1,1,1,1,2,1,2,1,1,1,2,3,1,1,2,2,1,2,3,1,3,1,3,1,1,10/16/2018
1610612744,Golden State Warriors,1,1,0,1.0,48.0,33.0,91.0,0.363,10.0,37.0,0.27,24.0,37.0,0.649,16.0,29.0,45.0,21.0,15.0,12.0,6.0,7.0,21.0,29.0,100.0,-8.0,1,1,1,1,1,1,2,1,3,3,3,4,4,2,3,1,1,2,3,4,3,1,3,1,2,2,10/16/2018
1610612760,Oklahoma City Thunder,1,0,1,0.0,48.0,42.0,95.0,0.442,7.0,26.0,0.269,17.0,18.0,0.944,17.0,41.0,58.0,28.0,21.0,7.0,7.0,6.0,29.0,21.0,108.0,8.0,1,3,3,3,1,3,3,4,2,1,2,3,2,4,4,2,4,4,1,1,4,2,4,2,4,3,10/16/2018
1610612755,Philadelphia 76ers,1,0,1,0.0,48.0,42.0,97.0,0.433,11.0,37.0,0.297,10.0,14.0,0.714,12.0,43.0,55.0,21.0,15.0,7.0,5.0,5.0,20.0,20.0,105.0,18.0,1,3,3,3,1,3,4,3,4,3,4,1,1,3,2,4,3,2,3,1,1,3,1,3,3,4,10/16/2018
1610612737,Atlanta Hawks,1,0,1,0.0,48.0,45.0,99.0,0.455,12.0,33.0,0.364,24.0,31.0,0.774,10.0,36.0,46.0,21.0,16.0,12.0,6.0,3.0,23.0,30.0,126.0,19.0,1,14,14,14,1,22,26,17,20,16,16,21,21,18,12,13,12,10,9,25,17,20,13,2,25,23,10/17/2018
1610612738,Boston Celtics,1,1,0,1.0,48.0,34.0,87.0,0.391,5.0,26.0,0.192,14.0,23.0,0.609,6.0,41.0,47.0,18.0,16.0,8.0,5.0,5.0,20.0,20.0,87.0,-18.0,1,1,1,1,1,4,8,4,1,9,2,5,15,3,4,21,15,5,9,16,11,11,5,20,2,5,10/17/2018
1610612751,Brooklyn Nets,1,0,1,0.0,48.0,39.0,92.0,0.424,6.0,24.0,0.25,19.0,22.0,0.864,14.0,32.0,46.0,21.0,17.0,5.0,5.0,5.0,20.0,23.0,103.0,3.0,1,14,14,14,1,9,15,9,3,4,3,16,10,23,17,5,12,10,6,6,11,11,5,13,8,15,10/17/2018
1610612766,Charlotte Hornets,1,0,1,0.0,48.0,42.0,85.0,0.494,14.0,34.0,0.412,15.0,20.0,0.75,11.0,46.0,57.0,26.0,21.0,5.0,4.0,9.0,25.0,19.0,113.0,1.0,1,14,14,14,1,18,6,21,22,20,21,9,7,15,14,26,24,20,2,6,8,1,16,23,20,14,10/17/2018
1610612739,Cleveland Cavaliers,1,0,1,0.0,48.0,45.0,92.0,0.489,14.0,33.0,0.424,12.0,20.0,0.6,8.0,35.0,43.0,21.0,10.0,6.0,7.0,0.0,29.0,25.0,116.0,12.0,1,14,14,14,1,22,15,20,22,16,23,3,7,2,8,11,7,10,23,9,19,26,23,8,21,21,10/17/2018
1610612742,Dallas Mavericks,1,0,1,0.0,48.0,44.0,81.0,0.543,19.0,34.0,0.559,14.0,16.0,0.875,6.0,38.0,44.0,35.0,12.0,5.0,2.0,5.0,22.0,16.0,121.0,21.0,1,14,14,14,1,21,2,25,26,20,26,5,3,24,4,15,8,25,15,6,2,11,9,26,23,25,10/17/2018
1610612743,Denver Nuggets,1,1,0,1.0,48.0,35.0,88.0,0.398,8.0,28.0,0.286,20.0,24.0,0.833,9.0,38.0,47.0,21.0,14.0,3.0,9.0,9.0,32.0,22.0,98.0,-9.0,1,1,1,1,1,6,10,6,9,14,9,18,16,21,10,15,15,10,14,2,24,1,26,15,3,7,10/17/2018
