TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Date
1610612746,LA Clippers,1,1,0,1.0,48.0,105.2,34,0.72,8,5,17.0,6.0,5.0,40.0,1,1,1,1,3,1,3,3,1,3,1,1,1,2,10/22/2019
1610612747,Los Angeles Lakers,1,0,1,0.0,48.0,115.5,32,0.744,4,7,25.0,12.0,22.0,42.0,1,3,3,3,3,4,4,1,3,2,4,3,4,3,10/22/2019
1610612740,New Orleans Pelicans,1,0,1,0.0,53.0,113.0,37,0.6,4,9,22.0,19.0,20.0,56.0,1,3,3,3,1,3,2,4,3,1,3,4,3,4,10/22/2019
1610612761,Toronto Raptors,1,1,0,1.0,53.0,108.9,41,0.729,7,3,20.0,9.0,13.0,38.0,1,1,1,1,1,2,1,2,2,4,2,2,2,1,10/22/2019
1610612738,Boston Celtics,1,0,1,0.0,48.0,103.9,31,0.654,4,2,11.0,17.0,14.0,58.0,1,14,14,14,5,12,23,24,22,24,4,19,13,19,10/23/2019
1610612751,Brooklyn Nets,1,0,1,0.0,53.0,106.7,38,0.726,8,9,15.0,14.0,8.0,60.0,1,14,14,14,1,16,10,19,10,1,11,13,3,22,10/23/2019
1610612766,Charlotte Hornets,1,1,0,1.0,48.0,120.2,32,0.596,3,4,29.0,17.0,21.0,78.0,1,1,1,1,5,26,21,26,26,15,24,19,21,26,10/23/2019
1610612741,Chicago Bulls,1,0,1,0.0,48.0,120.0,29,0.727,11,4,13.0,12.0,25.0,42.0,1,14,14,14,5,25,25,18,4,15,8,10,23,7,10/23/2019
1610612739,Cleveland Cavaliers,1,0,1,0.0,48.0,94.0,44,0.833,8,2,11.0,8.0,14.0,50.0,1,14,14,14,5,5,2,2,10,24,4,5,13,13,10/23/2019
1610612742,Dallas Mavericks,1,1,0,1.0,48.0,96.2,41,0.741,6,5,17.0,19.0,20.0,44.0,1,1,1,1,5,7,3,13,15,10,13,23,17,10,10/23/2019
1610612743,Denver Nuggets,1,1,0,1.0,48.0,98.0,34,0.686,11,4,18.0,23.0,12.0,54.0,1,1,1,1,5,8,18,23,4,15,16,26,9,15,10/23/2019
