TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Date
1610612737,Atlanta Hawks,11,5,6,0.455,543.0,110.5,113.7,115.4,116.6,-4.9,-2.9,0.615,1.83,18.0,0.278,0.72,0.493,0.137,0.529,0.569,104.8,102.81,85.67,1158,0.468,2,13,18,17,2,7,28,21,11,6,12,11,24,22,9,20,18,6,26,07/30/2020
1610612738,Boston Celtics,10,5,5,0.5,490.0,109.0,111.3,106.9,109.2,2.1,2.0,0.499,1.6,14.8,0.301,0.722,0.51,0.126,0.512,0.551,101.0,98.89,82.41,1011,0.51,14,13,10,13,14,14,9,11,29,23,30,5,22,9,5,29,28,23,13,07/30/2020
1610612751,Brooklyn Nets,11,5,6,0.455,538.0,107.2,109.7,109.3,111.3,-2.0,-1.6,0.611,1.64,17.0,0.3,0.75,0.525,0.145,0.514,0.552,102.1,99.97,83.31,1121,0.487,2,13,18,17,3,22,13,18,13,18,23,6,5,5,17,28,27,18,21,07/30/2020
1610612766,Charlotte Hornets,11,5,6,0.455,538.0,105.7,107.0,110.2,111.4,-4.6,-4.4,0.656,1.75,18.1,0.276,0.71,0.487,0.143,0.51,0.546,95.3,94.17,78.48,1056,0.473,2,13,18,17,3,29,14,27,5,8,11,12,28,23,12,30,29,30,25,07/30/2020
1610612741,Chicago Bulls,10,3,7,0.3,480.0,107.3,109.4,111.3,113.0,-4.0,-3.6,0.565,1.52,17.2,0.302,0.685,0.476,0.157,0.537,0.559,101.5,99.75,83.12,1000,0.458,14,27,24,27,18,23,16,24,25,28,19,4,29,26,25,15,23,20,28,07/30/2020
1610612739,Cleveland Cavaliers,11,5,6,0.455,538.0,108.5,109.9,111.8,113.1,-3.3,-3.2,0.644,1.58,19.0,0.288,0.733,0.512,0.168,0.548,0.577,100.0,98.72,82.27,1107,0.48,2,13,18,17,3,21,17,22,6,25,7,7,13,8,30,10,13,25,23,07/30/2020
1610612742,Dallas Mavericks,12,7,5,0.583,581.0,110.0,112.7,104.6,106.7,5.3,6.0,0.605,1.82,18.1,0.247,0.752,0.506,0.136,0.552,0.579,104.2,101.95,84.96,1235,0.53,1,2,10,10,1,9,6,5,15,7,10,22,4,11,7,6,11,10,5,07/30/2020
1610612743,Denver Nuggets,10,5,5,0.5,480.0,110.6,112.2,112.2,113.7,-1.5,-1.5,0.626,1.69,19.6,0.265,0.72,0.501,0.162,0.567,0.593,99.6,98.2,81.83,982,0.504,14,13,10,13,18,12,19,17,9,13,6,15,25,13,27,1,4,26,15,07/30/2020
1610612765,Detroit Pistons,9,1,8,0.111,432.0,104.5,107.8,117.2,118.0,-12.8,-10.2,0.639,1.71,18.0,0.274,0.724,0.481,0.146,0.522,0.552,97.0,95.11,79.26,856,0.423,27,30,29,30,28,25,30,30,7,12,13,14,20,24,19,25,26,29,30,07/30/2020
1610612744,Golden State Warriors,10,3,7,0.3,480.0,105.0,107.0,114.8,116.2,-9.8,-9.2,0.694,1.75,19.9,0.255,0.738,0.493,0.159,0.526,0.56,101.5,99.95,83.29,995,0.462,14,27,24,27,18,28,27,29,3,9,3,20,11,21,26,23,22,19,27,07/30/2020
1610612745,Houston Rockets,10,6,4,0.6,485.0,111.9,114.2,107.5,110.6,4.4,3.7,0.533,1.44,16.1,0.246,0.675,0.465,0.149,0.56,0.594,104.6,102.04,85.03,1032,0.501,14,8,7,8,15,6,12,6,27,30,28,23,30,29,22,3,3,9,17,07/30/2020
1610612754,Indiana Pacers,10,7,3,0.7,480.0,105.2,106.8,103.5,105.6,1.8,1.2,0.587,1.68,17.8,0.248,0.733,0.499,0.144,0.523,0.556,102.3,100.6,83.83,1004,0.517,14,2,3,3,18,30,5,13,20,14,15,21,14,14,16,24,25,15,10,07/30/2020
1610612746,LA Clippers,10,7,3,0.7,480.0,114.1,115.4,103.8,105.2,10.4,10.2,0.583,1.61,17.1,0.275,0.742,0.523,0.144,0.552,0.599,101.7,100.45,83.71,1006,0.55,14,2,3,3,18,3,4,1,21,22,22,13,9,6,15,8,2,16,1,07/30/2020
1610612747,Los Angeles Lakers,11,9,2,0.818,528.0,106.1,107.6,99.7,101.3,6.4,6.3,0.568,1.56,16.6,0.26,0.735,0.497,0.144,0.521,0.556,104.8,103.27,86.06,1138,0.543,2,1,1,1,10,26,2,4,24,26,25,17,12,18,14,26,24,5,3,07/30/2020
1610612763,Memphis Grizzlies,11,4,7,0.364,528.0,106.7,108.5,106.2,108.0,0.5,0.4,0.614,1.61,17.6,0.328,0.743,0.539,0.155,0.517,0.546,103.7,102.05,85.04,1124,0.516,2,21,24,24,10,24,8,15,12,21,16,1,8,1,24,27,30,8,12,07/30/2020
1610612748,Miami Heat,11,6,5,0.545,533.0,112.3,114.6,109.1,111.6,3.2,2.9,0.733,1.97,20.9,0.236,0.74,0.496,0.148,0.565,0.602,101.1,99.02,82.51,1098,0.53,2,8,10,11,6,5,15,8,1,4,1,26,10,20,20,2,1,22,4,07/30/2020
1610612749,Milwaukee Bucks,11,7,4,0.636,533.0,106.5,107.3,98.8,100.7,7.8,6.6,0.597,1.58,17.6,0.227,0.802,0.526,0.149,0.535,0.569,106.4,105.05,87.54,1168,0.55,2,2,7,7,6,27,1,3,18,24,17,28,1,3,21,17,17,3,2,07/30/2020
1610612750,Minnesota Timberwolves,11,3,8,0.273,528.0,107.6,110.0,114.9,117.3,-7.3,-7.3,0.578,1.68,17.0,0.238,0.727,0.468,0.136,0.536,0.568,109.1,106.77,88.98,1174,0.448,2,27,29,29,10,19,29,28,22,15,24,25,19,27,8,16,19,1,29,07/30/2020
1610612740,New Orleans Pelicans,10,5,5,0.5,485.0,106.8,110.5,105.0,107.6,1.8,2.8,0.688,1.72,19.8,0.323,0.731,0.527,0.167,0.537,0.561,108.2,105.11,87.59,1062,0.518,14,13,10,13,15,18,7,9,4,11,4,2,17,2,29,14,21,2,9,07/30/2020
1610612752,New York Knicks,11,4,7,0.364,533.0,110.0,111.1,112.4,115.3,-2.4,-4.2,0.571,1.67,17.3,0.313,0.731,0.525,0.145,0.533,0.564,100.6,98.84,82.36,1099,0.5,2,21,24,24,6,15,24,26,23,16,18,3,16,4,18,18,20,24,18,07/30/2020
1610612760,Oklahoma City Thunder,9,7,2,0.778,432.0,110.5,112.4,108.2,110.0,2.3,2.4,0.514,1.64,16.2,0.216,0.714,0.478,0.129,0.546,0.584,101.3,99.67,83.06,894,0.52,27,2,1,2,28,10,10,10,28,17,27,29,26,25,6,11,10,21,8,07/30/2020
1610612753,Orlando Magic,10,6,4,0.6,480.0,115.1,117.8,113.6,115.9,1.5,1.9,0.631,2.31,19.7,0.285,0.761,0.518,0.12,0.552,0.586,103.9,101.7,84.75,1017,0.516,14,8,7,8,18,1,26,12,8,1,5,9,2,7,3,7,9,12,11,07/30/2020
1610612755,Philadelphia 76ers,10,5,5,0.5,485.0,114.9,116.8,113.2,115.7,1.7,1.1,0.6,2.15,18.1,0.286,0.731,0.499,0.118,0.54,0.578,99.1,97.29,81.07,983,0.505,14,13,10,13,15,2,25,14,16,3,9,8,15,15,2,13,12,28,14,07/30/2020
1610612756,Phoenix Suns,10,4,6,0.4,480.0,110.3,112.3,112.7,114.1,-2.3,-1.8,0.71,1.72,20.1,0.285,0.728,0.504,0.166,0.542,0.588,102.6,101.0,84.17,1008,0.503,14,21,18,22,18,11,22,19,2,10,2,10,18,12,28,12,8,14,16,07/30/2020
1610612757,Portland Trail Blazers,10,4,6,0.4,480.0,112.7,114.7,113.0,114.9,-0.3,-0.2,0.49,1.53,15.9,0.259,0.72,0.498,0.138,0.559,0.589,101.9,100.2,83.5,1002,0.492,14,21,18,22,18,4,23,16,30,27,29,18,23,17,10,4,7,17,20,07/30/2020
1610612758,Sacramento Kings,10,7,3,0.7,480.0,113.3,113.2,108.4,110.1,4.9,3.1,0.591,1.92,17.9,0.23,0.758,0.498,0.125,0.553,0.591,102.1,101.35,84.46,1014,0.522,14,2,3,3,18,8,11,7,19,5,14,27,3,16,4,5,5,13,7,07/30/2020
1610612759,San Antonio Spurs,9,4,5,0.444,437.0,108.9,110.0,112.1,113.7,-3.2,-3.7,0.598,2.2,18.2,0.183,0.749,0.461,0.109,0.527,0.569,103.0,101.77,84.81,924,0.484,27,21,10,21,27,20,18,25,17,2,8,30,7,30,1,22,16,11,22,07/30/2020
1610612761,Toronto Raptors,9,6,3,0.667,432.0,108.5,110.8,101.6,103.9,6.9,6.8,0.611,1.62,17.2,0.256,0.749,0.509,0.143,0.529,0.577,104.3,102.11,85.09,920,0.523,27,8,3,6,28,16,3,2,14,20,20,19,6,10,13,19,15,7,6,07/30/2020
1610612762,Utah Jazz,11,6,5,0.545,528.0,110.5,112.0,111.2,114.0,-0.7,-2.0,0.55,1.44,16.4,0.261,0.711,0.497,0.152,0.549,0.59,99.3,97.36,81.14,1074,0.495,2,8,10,11,10,13,21,20,26,29,26,16,27,19,23,9,6,27,19,07/30/2020
1610612764,Washington Wizards,11,4,7,0.364,533.0,109.1,110.6,112.8,113.9,-3.7,-3.2,0.618,1.63,17.1,0.244,0.724,0.466,0.142,0.528,0.577,104.6,103.38,86.15,1149,0.476,2,21,24,24,6,17,20,23,10,19,21,24,21,28,11,21,14,4,24,07/30/2020
1610612737,Atlanta Hawks,11,5,6,0.455,543.0,110.5,113.7,115.4,116.6,-4.9,-2.9,0.615,1.83,18.0,0.278,0.72,0.493,0.137,0.529,0.569,104.8,102.81,85.67,1158,0.468,6,13,16,17,6,8,28,22,11,6,12,10,23,22,8,21,18,6,26,07/31/2020
1610612738,Boston Celtics,11,5,6,0.455,538.0,108.5,110.8,107.3,109.4,1.2,1.4,0.498,1.55,14.6,0.299,0.727,0.51,0.128,0.508,0.549,101.6,99.52,82.94,1116,0.502,6,13,16,17,7,16,8,12,29,26,30,5,20,10,4,30,29,22,17,07/31/2020
1610612751,Brooklyn Nets,12,5,7,0.417,586.0,107.7,110.0,110.1,112.3,-2.5,-2.3,0.618,1.68,17.3,0.294,0.751,0.521,0.144,0.517,0.554,102.4,100.3,83.58,1225,0.481,2,13,23,23,2,19,15,20,10,14,19,6,5,6,14,28,26,18,22,07/31/2020
1610612766,Charlotte Hornets,11,5,6,0.455,538.0,105.7,107.0,110.2,111.4,-4.6,-4.4,0.656,1.75,18.1,0.276,0.71,0.487,0.143,0.51,0.546,95.3,94.17,78.48,1056,0.473,6,13,16,17,7,29,12,27,5,8,11,12,28,23,12,29,30,30,24,07/31/2020
1610612741,Chicago Bulls,10,3,7,0.3,480.0,107.3,109.4,111.3,113.0,-4.0,-3.6,0.565,1.52,17.2,0.302,0.685,0.476,0.157,0.537,0.559,101.5,99.75,83.12,1000,0.458,20,27,23,27,23,23,16,24,25,28,20,4,29,26,25,15,23,20,28,07/31/2020
1610612739,Cleveland Cavaliers,11,5,6,0.455,538.0,108.5,109.9,111.8,113.1,-3.3,-3.2,0.644,1.58,19.0,0.288,0.733,0.512,0.168,0.548,0.577,100.0,98.72,82.27,1107,0.48,6,13,16,17,7,22,17,23,6,23,7,7,13,8,30,10,13,25,23,07/31/2020
1610612742,Dallas Mavericks,13,7,6,0.538,634.0,110.5,113.8,106.6,108.7,3.9,5.2,0.604,1.79,18.1,0.257,0.758,0.511,0.139,0.555,0.582,104.9,102.44,85.36,1354,0.523,1,3,16,12,1,7,7,5,15,7,10,19,4,9,9,6,11,8,5,07/31/2020
1610612743,Denver Nuggets,10,5,5,0.5,480.0,110.6,112.2,112.2,113.7,-1.5,-1.5,0.626,1.69,19.6,0.265,0.72,0.501,0.162,0.567,0.593,99.6,98.2,81.83,982,0.504,20,13,10,13,23,12,20,18,9,13,6,15,24,14,27,1,6,26,16,07/31/2020
1610612765,Detroit Pistons,9,1,8,0.111,432.0,104.5,107.8,117.2,118.0,-12.8,-10.2,0.639,1.71,18.0,0.274,0.724,0.481,0.146,0.522,0.552,97.0,95.11,79.26,856,0.423,28,30,27,30,28,25,30,30,7,11,13,14,22,24,20,25,27,29,30,07/31/2020
1610612744,Golden State Warriors,10,3,7,0.3,480.0,105.0,107.0,114.8,116.2,-9.8,-9.2,0.694,1.75,19.9,0.255,0.738,0.493,0.159,0.526,0.56,101.5,99.95,83.29,995,0.462,20,27,23,27,23,28,27,29,3,9,4,21,11,21,26,23,22,19,27,07/31/2020
1610612745,Houston Rockets,11,7,4,0.636,538.0,113.4,115.7,108.4,112.1,5.0,3.6,0.529,1.52,16.2,0.238,0.672,0.461,0.142,0.565,0.6,105.4,102.6,85.5,1151,0.506,6,3,6,7,7,3,14,6,27,29,27,24,30,30,11,2,2,7,14,07/31/2020
1610612754,Indiana Pacers,10,7,3,0.7,480.0,105.2,106.8,103.5,105.6,1.8,1.2,0.587,1.68,17.8,0.248,0.733,0.499,0.144,0.523,0.556,102.3,100.6,83.83,1004,0.517,20,3,3,3,23,30,5,13,19,15,14,22,14,15,18,24,25,15,10,07/31/2020
1610612746,LA Clippers,10,7,3,0.7,480.0,114.1,115.4,103.8,105.2,10.4,10.2,0.583,1.61,17.1,0.275,0.742,0.523,0.144,0.552,0.599,101.7,100.45,83.71,1006,0.55,20,3,3,3,23,5,4,1,20,21,22,13,9,4,17,8,3,17,2,07/31/2020
