TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Date
1610612737,Atlanta Hawks,11,5,6,0.455,543.0,473,1037,0.456,151,427,0.354,220,274,0.803,125,374,499,291,159.0,73,48,76,250,239,1317,-45.0,2,13,18,17,2,2,2,24,6,6,23,3,7,8,4,8,7,5,16,25,14,30,29,5,2,26,07/30/2020
1610612738,Boston Celtics,10,5,5,0.5,490.0,407,920,0.442,128,359,0.357,183,230,0.796,116,357,473,203,127.0,80,50,59,212,206,1125,24.0,14,13,10,13,14,22,15,28,14,13,17,18,20,10,7,13,10,29,6,16,13,25,16,18,22,10,07/30/2020
1610612751,Brooklyn Nets,11,5,6,0.455,538.0,435,990,0.439,147,441,0.333,213,284,0.75,130,414,544,266,162.0,59,42,50,239,229,1230,-17.0,2,13,18,17,3,12,6,29,7,3,27,5,3,21,3,3,4,13,20,30,20,16,26,8,7,19,07/30/2020
1610612766,Charlotte Hornets,11,5,6,0.455,538.0,404,927,0.436,137,367,0.373,185,244,0.758,116,349,465,265,151.0,75,42,58,189,225,1130,-45.0,2,13,18,17,3,23,12,30,12,12,9,16,14,19,7,16,12,14,12,22,20,24,5,11,21,26,07/30/2020
1610612741,Chicago Bulls,10,3,7,0.3,480.0,421,898,0.469,122,344,0.355,130,183,0.71,116,273,389,238,157.0,107,46,49,244,192,1094,-30.0,14,27,24,27,18,17,17,14,19,17,21,30,28,27,7,29,27,21,14,2,18,15,27,25,24,21,07/30/2020
1610612739,Cleveland Cavaliers,11,5,6,0.455,538.0,455,945,0.481,126,342,0.368,181,248,0.73,118,360,478,293,186.0,77,37,67,197,227,1217,-34.0,2,13,18,17,3,7,10,6,16,18,10,19,12,26,6,11,9,4,30,20,28,28,7,10,11,22,07/30/2020
1610612742,Dallas Mavericks,12,7,5,0.583,581.0,506,1087,0.466,189,522,0.362,191,261,0.732,104,459,563,306,168.0,89,76,57,223,241,1392,76.0,1,2,10,10,1,1,1,17,1,1,14,12,10,25,12,1,1,2,26,7,1,23,21,4,1,3,07/30/2020
1610612743,Denver Nuggets,10,5,5,0.5,480.0,428,849,0.504,107,295,0.363,139,182,0.764,92,318,410,268,159.0,86,42,29,210,196,1102,-15.0,14,13,10,13,18,15,26,1,26,26,12,28,29,16,22,25,25,11,16,10,20,1,13,22,23,17,07/30/2020
1610612765,Detroit Pistons,9,1,8,0.111,432.0,335,756,0.443,119,333,0.357,134,181,0.74,77,260,337,214,125.0,68,31,44,197,158,923,-87.0,27,30,29,30,28,30,29,27,23,23,16,29,30,22,27,30,30,26,5,28,30,10,7,30,30,28,07/30/2020
1610612744,Golden State Warriors,10,3,7,0.3,480.0,399,855,0.467,101,342,0.295,166,219,0.758,95,322,417,277,158.0,69,42,43,211,205,1065,-102.0,14,27,24,27,18,26,24,16,27,18,30,23,24,20,19,21,22,9,15,27,20,8,14,19,26,30,07/30/2020
1610612745,Houston Rockets,10,6,4,0.6,485.0,415,889,0.467,165,463,0.356,184,234,0.786,92,319,411,221,154.0,97,59,44,220,181,1179,40.0,14,8,7,8,15,18,19,15,2,2,18,17,19,12,22,23,24,25,13,4,6,10,19,28,14,6,07/30/2020
1610612754,Indiana Pacers,10,7,3,0.7,480.0,414,877,0.472,89,259,0.344,155,199,0.779,91,355,446,243,145.0,86,59,50,188,184,1072,8.0,14,2,3,3,18,20,21,9,29,28,25,27,26,14,24,14,16,20,10,10,6,16,3,27,25,14,07/30/2020
