TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Date
1610612737,Atlanta Hawks,11,5,6,0.455,543.0,116.6,374,0.72,73,48,191.0,176.0,187.0,572.0,2,13,18,17,2,28,8,24,25,14,20,30,28,29,07/30/2020
1610612738,Boston Celtics,10,5,5,0.5,490.0,109.2,357,0.722,80,50,150.0,156.0,136.0,436.0,14,13,10,13,14,9,13,22,16,13,6,28,14,5,07/30/2020
1610612751,Brooklyn Nets,11,5,6,0.455,538.0,111.3,414,0.75,59,42,175.0,138.0,157.0,490.0,2,13,18,17,3,13,3,5,30,20,14,16,18,16,07/30/2020
1610612766,Charlotte Hornets,11,5,6,0.455,538.0,111.4,349,0.71,75,42,173.0,125.0,142.0,542.0,2,13,18,17,3,14,16,28,22,20,13,10,15,24,07/30/2020
1610612741,Chicago Bulls,10,3,7,0.3,480.0,113.0,273,0.685,107,46,186.0,137.0,130.0,514.0,14,27,24,27,18,16,29,29,2,18,18,14,9,20,07/30/2020
1610612739,Cleveland Cavaliers,11,5,6,0.455,538.0,113.1,360,0.733,77,37,212.0,145.0,127.0,554.0,2,13,18,17,3,17,11,13,20,28,29,22,8,27,07/30/2020
1610612742,Dallas Mavericks,12,7,5,0.583,581.0,106.7,459,0.752,89,76,168.0,159.0,212.0,570.0,1,2,10,10,1,6,1,4,7,1,10,29,30,28,07/30/2020
1610612743,Denver Nuggets,10,5,5,0.5,480.0,113.7,318,0.72,86,42,213.0,137.0,133.0,460.0,14,13,10,13,18,19,25,25,10,20,30,14,11,8,07/30/2020
1610612765,Detroit Pistons,9,1,8,0.111,432.0,118.0,260,0.724,68,31,145.0,113.0,122.0,476.0,27,30,29,30,28,30,30,20,28,30,3,7,5,13,07/30/2020
1610612744,Golden State Warriors,10,3,7,0.3,480.0,116.2,322,0.738,69,42,193.0,123.0,179.0,474.0,14,27,24,27,18,27,21,11,27,20,21,9,23,11,07/30/2020
1610612745,Houston Rockets,10,6,4,0.6,485.0,110.6,319,0.675,97,59,185.0,143.0,155.0,528.0,14,8,7,8,15,12,23,30,4,6,16,20,17,21,07/30/2020
1610612754,Indiana Pacers,10,7,3,0.7,480.0,105.6,355,0.733,86,59,138.0,103.0,185.0,470.0,14,2,3,3,18,5,14,14,10,6,2,3,26,10,07/30/2020
1610612746,LA Clippers,10,7,3,0.7,480.0,105.2,359,0.742,65,40,169.0,114.0,113.0,444.0,14,2,3,3,18,4,12,9,29,24,12,8,3,7,07/30/2020
1610612747,Los Angeles Lakers,11,9,2,0.818,528.0,101.3,390,0.735,96,72,210.0,142.0,207.0,502.0,2,1,1,1,10,2,5,12,5,2,28,19,29,18,07/30/2020
1610612763,Memphis Grizzlies,11,4,7,0.364,528.0,108.0,413,0.743,89,53,205.0,143.0,179.0,486.0,2,21,24,24,10,8,4,8,7,8,27,20,23,15,07/30/2020
1610612748,Miami Heat,11,6,5,0.545,533.0,111.6,378,0.74,88,67,197.0,138.0,125.0,468.0,2,8,10,11,6,15,7,10,9,3,24,16,7,9,07/30/2020
1610612749,Milwaukee Bucks,11,7,4,0.636,533.0,100.7,457,0.802,81,48,196.0,109.0,168.0,428.0,2,2,7,7,6,1,2,1,15,14,22,4,22,3,07/30/2020
1610612750,Minnesota Timberwolves,11,3,8,0.273,528.0,117.3,354,0.727,100,47,185.0,155.0,166.0,652.0,2,27,29,29,10,29,15,19,3,17,16,27,21,30,07/30/2020
1610612740,New Orleans Pelicans,10,5,5,0.5,485.0,107.6,368,0.731,91,40,199.0,141.0,185.0,536.0,14,13,10,13,15,7,9,17,6,24,26,18,26,23,07/30/2020
1610612752,New York Knicks,11,4,7,0.364,533.0,115.3,383,0.731,79,61,196.0,150.0,119.0,508.0,2,21,24,24,6,24,6,16,17,4,22,25,4,19,07/30/2020
1610612760,Oklahoma City Thunder,9,7,2,0.778,432.0,110.0,295,0.714,78,52,148.0,132.0,95.0,434.0,27,2,1,2,28,10,28,26,18,9,5,12,1,4,07/30/2020
1610612753,Orlando Magic,10,6,4,0.6,480.0,115.9,342,0.761,74,51,136.0,96.0,123.0,500.0,14,8,7,8,18,26,19,2,23,10,1,1,6,17,07/30/2020
1610612755,Philadelphia 76ers,10,5,5,0.5,485.0,115.7,319,0.731,82,44,155.0,111.0,161.0,542.0,14,13,10,13,15,25,23,15,14,19,7,5,19,24,07/30/2020
1610612756,Phoenix Suns,10,4,6,0.4,480.0,114.1,314,0.728,76,40,197.0,145.0,150.0,484.0,14,21,18,22,18,22,26,18,21,24,24,22,16,14,07/30/2020
1610612757,Portland Trail Blazers,10,4,6,0.4,480.0,114.9,343,0.72,72,60,168.0,134.0,181.0,414.0,14,21,18,22,18,23,18,23,26,5,10,13,25,2,07/30/2020
1610612758,Sacramento Kings,10,7,3,0.7,480.0,110.1,348,0.758,86,38,158.0,98.0,162.0,474.0,14,2,3,3,18,11,17,3,10,27,8,2,20,11,07/30/2020
1610612759,San Antonio Spurs,9,4,5,0.444,437.0,113.7,304,0.749,83,51,147.0,128.0,105.0,436.0,27,21,10,21,27,18,27,7,13,10,4,11,2,5,07/30/2020
1610612761,Toronto Raptors,9,6,3,0.667,432.0,103.9,328,0.749,78,48,158.0,111.0,134.0,384.0,27,8,3,6,28,3,20,6,18,14,8,5,12,1,07/30/2020
1610612762,Utah Jazz,11,6,5,0.545,528.0,114.0,365,0.711,74,51,181.0,153.0,134.0,528.0,2,8,10,11,10,21,10,27,23,10,15,26,12,21,07/30/2020
1610612764,Washington Wizards,11,4,7,0.364,533.0,113.9,320,0.724,112,36,188.0,146.0,131.0,546.0,2,21,24,24,6,20,22,21,1,29,19,24,10,26,07/30/2020
1610612737,Atlanta Hawks,11,5,6,0.455,543.0,116.6,374,0.72,73,48,191.0,176.0,187.0,572.0,6,13,16,17,6,28,12,23,26,15,17,30,26,26,07/31/2020
1610612738,Boston Celtics,11,5,6,0.455,538.0,109.4,391,0.727,88,55,172.0,160.0,152.0,484.0,6,13,16,17,7,8,5,20,12,9,9,27,15,11,07/31/2020
1610612751,Brooklyn Nets,12,5,7,0.417,586.0,112.3,443,0.751,63,44,188.0,151.0,164.0,534.0,2,13,23,23,2,15,3,5,30,19,15,21,18,19,07/31/2020
1610612766,Charlotte Hornets,11,5,6,0.455,538.0,111.4,349,0.71,75,42,173.0,125.0,142.0,542.0,6,13,16,17,7,12,20,28,24,22,10,10,13,22,07/31/2020
1610612741,Chicago Bulls,10,3,7,0.3,480.0,113.0,273,0.685,107,46,186.0,137.0,130.0,514.0,20,27,23,27,23,16,29,29,3,18,14,12,7,15,07/31/2020
1610612739,Cleveland Cavaliers,11,5,6,0.455,538.0,113.1,360,0.733,77,37,212.0,145.0,127.0,554.0,6,13,16,17,7,17,15,13,23,29,25,18,6,25,07/31/2020
1610612742,Dallas Mavericks,13,7,6,0.538,634.0,108.7,501,0.758,96,80,188.0,170.0,232.0,634.0,1,3,16,12,1,7,1,4,7,1,15,29,30,29,07/31/2020
1610612743,Denver Nuggets,10,5,5,0.5,480.0,113.7,318,0.72,86,42,213.0,137.0,133.0,460.0,20,13,10,13,23,20,27,24,14,22,26,12,10,4,07/31/2020
1610612765,Detroit Pistons,9,1,8,0.111,432.0,118.0,260,0.724,68,31,145.0,113.0,122.0,476.0,28,30,27,30,28,30,30,22,28,30,2,6,4,10,07/31/2020
1610612744,Golden State Warriors,10,3,7,0.3,480.0,116.2,322,0.738,69,42,193.0,123.0,179.0,474.0,20,27,23,27,23,27,25,11,27,22,18,9,22,9,07/31/2020
1610612745,Houston Rockets,11,7,4,0.636,538.0,112.1,355,0.672,109,69,195.0,167.0,162.0,572.0,6,3,6,7,7,14,17,30,2,3,20,28,17,26,07/31/2020
1610612754,Indiana Pacers,10,7,3,0.7,480.0,105.6,355,0.733,86,59,138.0,103.0,185.0,470.0,20,3,3,3,23,5,17,14,14,7,1,1,23,8,07/31/2020
1610612746,LA Clippers,10,7,3,0.7,480.0,105.2,359,0.742,65,40,169.0,114.0,113.0,444.0,20,3,3,3,23,4,16,9,29,25,8,7,2,3,07/31/2020
1610612747,Los Angeles Lakers,11,9,2,0.818,528.0,101.3,390,0.735,96,72,210.0,142.0,207.0,502.0,6,1,1,1,14,2,6,12,7,2,24,17,29,13,07/31/2020
1610612763,Memphis Grizzlies,12,4,8,0.333,581.0,109.5,442,0.743,98,58,217.0,149.0,187.0,540.0,2,24,27,25,3,9,4,7,5,8,29,19,26,21,07/31/2020
1610612748,Miami Heat,11,6,5,0.545,533.0,111.6,378,0.74,88,67,197.0,138.0,125.0,468.0,6,10,10,10,11,13,9,10,12,5,22,14,5,7,07/31/2020
1610612749,Milwaukee Bucks,12,8,4,0.667,581.0,101.2,497,0.795,90,55,214.0,120.0,186.0,466.0,2,2,6,5,3,1,2,1,10,9,27,8,25,6,07/31/2020
1610612750,Minnesota Timberwolves,11,3,8,0.273,528.0,117.3,354,0.727,100,47,185.0,155.0,166.0,652.0,6,27,27,29,14,29,19,21,4,17,13,25,19,30,07/31/2020
1610612740,New Orleans Pelicans,10,5,5,0.5,485.0,107.6,368,0.731,91,40,199.0,141.0,185.0,536.0,20,13,10,13,20,6,13,18,9,25,23,16,23,20,07/31/2020
1610612752,New York Knicks,11,4,7,0.364,533.0,115.3,383,0.731,79,61,196.0,150.0,119.0,508.0,6,24,23,24,11,24,7,16,20,6,21,20,3,14,07/31/2020
1610612760,Oklahoma City Thunder,9,7,2,0.778,432.0,110.0,295,0.714,78,52,148.0,132.0,95.0,434.0,28,3,1,2,28,10,28,26,21,13,4,11,1,2,07/31/2020
1610612753,Orlando Magic,11,7,4,0.636,528.0,115.7,378,0.763,82,54,145.0,103.0,131.0,550.0,6,3,6,7,14,26,9,2,17,12,2,1,8,24,07/31/2020
1610612755,Philadelphia 76ers,10,5,5,0.5,485.0,115.7,319,0.731,82,44,155.0,111.0,161.0,542.0,20,13,10,13,20,25,26,15,17,19,5,4,16,22,07/31/2020
1610612756,Phoenix Suns,11,5,6,0.455,528.0,113.1,347,0.731,86,43,218.0,154.0,172.0,532.0,6,13,16,17,14,18,22,17,14,21,30,24,20,18,07/31/2020
1610612757,Portland Trail Blazers,11,5,6,0.455,533.0,115.2,376,0.717,82,69,194.0,159.0,199.0,464.0,6,13,16,17,11,23,11,25,17,3,19,26,28,5,07/31/2020
1610612758,Sacramento Kings,11,7,4,0.636,528.0,111.1,382,0.76,97,40,183.0,109.0,175.0,526.0,6,3,6,7,14,11,8,3,6,25,12,3,21,16,07/31/2020
1610612759,San Antonio Spurs,10,5,5,0.5,485.0,113.4,337,0.743,89,55,163.0,140.0,131.0,496.0,20,13,10,13,20,19,23,8,11,9,7,15,8,12,07/31/2020
1610612761,Toronto Raptors,9,6,3,0.667,432.0,103.9,328,0.749,78,48,158.0,111.0,134.0,384.0,28,10,3,5,28,3,24,6,21,15,6,4,11,1,07/31/2020
1610612762,Utah Jazz,11,6,5,0.545,528.0,114.0,365,0.711,74,51,181.0,153.0,134.0,528.0,6,10,10,10,14,22,14,27,25,14,11,22,11,17,07/31/2020
1610612764,Washington Wizards,12,4,8,0.333,581.0,114.0,348,0.731,119,38,214.0,153.0,150.0,596.0,2,24,27,25,3,21,21,19,1,28,27,22,14,28,07/31/2020
1610612737,Atlanta Hawks,11,5,6,0.455,543.0,116.6,374,0.72,73,48,191.0,176.0,187.0,572.0,9,13,12,14,9,28,16,23,27,17,16,30,24,24,08/01/2020
1610612738,Boston Celtics,11,5,6,0.455,538.0,109.4,391,0.727,88,55,172.0,160.0,152.0,484.0,9,13,12,14,10,9,9,19,15,10,6,26,15,7,08/01/2020
1610612751,Brooklyn Nets,12,5,7,0.417,586.0,112.3,443,0.751,63,44,188.0,151.0,164.0,534.0,2,13,23,23,2,15,3,6,30,20,13,19,17,16,08/01/2020
