TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Date
1610612746,LA Clippers,1,1,0,1.0,48.0,25.0,12.0,22.0,42.0,17.0,6.0,5.0,40.0,1,1,1,1,3,1,2,1,2,1,1,1,2,10/22/2019
1610612747,Los Angeles Lakers,1,0,1,0.0,48.0,17.0,6.0,5.0,40.0,25.0,12.0,22.0,42.0,1,3,3,3,3,4,4,4,3,4,3,4,3,10/22/2019
1610612740,New Orleans Pelicans,1,0,1,0.0,53.0,20.0,9.0,13.0,38.0,22.0,19.0,20.0,56.0,1,3,3,3,1,3,3,3,4,3,4,3,4,10/22/2019
1610612761,Toronto Raptors,1,1,0,1.0,53.0,22.0,19.0,20.0,56.0,20.0,9.0,13.0,38.0,1,1,1,1,1,2,1,2,1,2,2,2,1,10/22/2019
1610612738,Boston Celtics,1,0,1,0.0,48.0,20.0,16.0,8.0,44.0,11.0,17.0,14.0,58.0,1,14,14,14,5,8,9,22,16,4,19,13,19,10/23/2019
1610612751,Brooklyn Nets,1,0,1,0.0,53.0,14.0,8.0,20.0,60.0,15.0,14.0,8.0,60.0,1,14,14,14,1,17,20,7,3,11,13,3,22,10/23/2019
1610612766,Charlotte Hornets,1,1,0,1.0,48.0,13.0,12.0,25.0,42.0,29.0,17.0,21.0,78.0,1,1,1,1,5,19,15,4,18,24,19,21,26,10/23/2019
1610612741,Chicago Bulls,1,0,1,0.0,48.0,29.0,17.0,21.0,78.0,13.0,12.0,25.0,42.0,1,14,14,14,5,3,6,6,1,8,10,23,7,10/23/2019
1610612739,Cleveland Cavaliers,1,0,1,0.0,48.0,11.0,7.0,10.0,42.0,11.0,8.0,14.0,50.0,1,14,14,14,5,21,23,20,18,4,5,13,13,10/23/2019
1610612742,Dallas Mavericks,1,1,0,1.0,48.0,18.0,12.0,14.0,36.0,17.0,19.0,20.0,44.0,1,1,1,1,5,10,15,12,23,13,23,17,10,10/23/2019
1610612743,Denver Nuggets,1,1,0,1.0,48.0,12.0,7.0,10.0,22.0,18.0,23.0,12.0,54.0,1,1,1,1,5,20,23,20,26,16,26,9,15,10/23/2019
1610612765,Detroit Pistons,1,1,0,1.0,48.0,14.0,17.0,12.0,46.0,17.0,19.0,8.0,50.0,1,1,1,1,5,17,6,16,15,13,23,3,13,10/23/2019
1610612754,Indiana Pacers,1,0,1,0.0,48.0,17.0,19.0,8.0,50.0,14.0,17.0,12.0,46.0,1,14,14,14,5,12,2,22,13,9,19,9,12,10/23/2019
1610612746,LA Clippers,1,1,0,1.0,48.0,25.0,12.0,22.0,42.0,17.0,6.0,5.0,40.0,1,1,1,1,5,4,15,5,18,13,1,1,6,10/23/2019
1610612747,Los Angeles Lakers,1,0,1,0.0,48.0,17.0,6.0,5.0,40.0,25.0,12.0,22.0,42.0,1,14,14,14,5,12,25,26,21,23,10,22,7,10/23/2019
1610612763,Memphis Grizzlies,1,0,1,0.0,48.0,24.0,15.0,20.0,56.0,24.0,16.0,12.0,60.0,1,14,14,14,5,5,11,7,9,21,17,9,22,10/23/2019
1610612748,Miami Heat,1,1,0,1.0,48.0,24.0,16.0,12.0,60.0,24.0,15.0,20.0,56.0,1,1,1,1,5,5,9,16,3,21,14,17,17,10/23/2019
1610612750,Minnesota Timberwolves,1,1,0,1.0,53.0,15.0,14.0,8.0,60.0,14.0,8.0,20.0,60.0,1,1,1,1,1,16,14,22,3,9,5,17,22,10/23/2019
1610612740,New Orleans Pelicans,1,0,1,0.0,53.0,20.0,9.0,13.0,38.0,22.0,19.0,20.0,56.0,1,14,14,14,1,8,19,15,22,20,23,17,17,10/23/2019
1610612752,New York Knicks,1,0,1,0.0,48.0,32.0,6.0,29.0,58.0,16.0,15.0,30.0,54.0,1,14,14,14,5,2,25,2,6,12,14,26,15,10/23/2019
1610612760,Oklahoma City Thunder,1,0,1,0.0,48.0,8.0,11.0,7.0,34.0,10.0,8.0,18.0,58.0,1,14,14,14,5,25,18,25,24,3,5,16,19,10/23/2019
1610612753,Orlando Magic,1,1,0,1.0,48.0,11.0,8.0,14.0,50.0,11.0,7.0,10.0,42.0,1,1,1,1,5,21,20,12,13,4,3,6,7,10/23/2019
1610612755,Philadelphia 76ers,1,1,0,1.0,48.0,11.0,17.0,14.0,58.0,20.0,16.0,8.0,44.0,1,1,1,1,5,21,6,12,6,18,17,3,10,10/23/2019
1610612756,Phoenix Suns,1,1,0,1.0,48.0,35.0,18.0,27.0,68.0,6.0,15.0,11.0,34.0,1,1,1,1,5,1,5,3,2,1,14,8,2,10/23/2019
1610612757,Portland Trail Blazers,1,0,1,0.0,48.0,18.0,23.0,12.0,54.0,12.0,7.0,10.0,22.0,1,14,14,14,5,10,1,16,11,7,3,6,1,10/23/2019
1610612758,Sacramento Kings,1,0,1,0.0,48.0,6.0,15.0,11.0,34.0,35.0,18.0,27.0,68.0,1,14,14,14,5,26,11,19,24,26,22,24,25,10/23/2019
1610612759,San Antonio Spurs,1,1,0,1.0,48.0,16.0,15.0,30.0,54.0,32.0,6.0,29.0,58.0,1,1,1,1,5,15,11,1,11,25,1,25,19,10/23/2019
1610612761,Toronto Raptors,1,1,0,1.0,53.0,22.0,19.0,20.0,56.0,20.0,9.0,13.0,38.0,1,1,1,1,1,7,2,7,9,18,8,12,5,10/23/2019
1610612762,Utah Jazz,1,1,0,1.0,48.0,10.0,8.0,18.0,58.0,8.0,11.0,7.0,34.0,1,1,1,1,5,24,20,11,6,2,9,2,2,10/23/2019
1610612764,Washington Wizards,1,0,1,0.0,48.0,17.0,19.0,20.0,44.0,18.0,12.0,14.0,36.0,1,14,14,14,5,12,2,7,16,16,10,13,4,10/23/2019
