TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Date
1610612737,Atlanta Hawks,11,4,7,0.364,533.0,181.0,137.0,122.0,592.0,210.0,147.0,134.0,490.0,7,16,17,15,10,18,21,25,5,19,18,9,8,2019-11-14
1610612738,Boston Celtics,10,9,1,0.9,480.0,176.0,109.0,126.0,488.0,119.0,137.0,117.0,442.0,28,1,1,1,28,21,28,22,25,1,12,3,2,2019-11-14
1610612751,Brooklyn Nets,11,4,7,0.364,538.0,181.0,160.0,166.0,588.0,212.0,134.0,138.0,554.0,7,16,17,15,8,18,7,11,6,20,10,10,20,2019-11-14
1610612766,Charlotte Hornets,11,4,7,0.364,533.0,218.0,138.0,155.0,532.0,219.0,147.0,141.0,618.0,7,16,17,15,10,6,20,13,14,24,18,12,29,2019-11-14
1610612741,Chicago Bulls,12,4,8,0.333,576.0,262.0,167.0,196.0,596.0,216.0,169.0,194.0,610.0,1,16,25,15,3,1,3,3,4,21,28,29,27,2019-11-14
1610612739,Cleveland Cavaliers,11,4,7,0.364,528.0,168.0,143.0,130.0,524.0,176.0,154.0,160.0,562.0,7,16,17,15,21,27,18,20,16,7,22,21,22,2019-11-14
1610612742,Dallas Mavericks,11,6,5,0.545,533.0,171.0,167.0,123.0,516.0,192.0,154.0,154.0,530.0,7,14,13,1,10,24,3,23,18,13,22,19,15,2019-11-14
1610612743,Denver Nuggets,11,8,3,0.727,538.0,179.0,139.0,122.0,510.0,148.0,119.0,153.0,518.0,7,3,3,1,8,20,19,25,20,2,3,18,14,2019-11-14
1610612765,Detroit Pistons,12,4,8,0.333,576.0,193.0,153.0,139.0,550.0,242.0,156.0,150.0,610.0,1,16,25,15,3,16,11,15,12,28,25,17,27,2019-11-14
1610612744,Golden State Warriors,12,2,10,0.167,581.0,216.0,153.0,161.0,524.0,222.0,197.0,155.0,646.0,1,29,30,15,1,9,11,12,16,26,30,20,30,2019-11-14
1610612745,Houston Rockets,11,8,3,0.727,528.0,206.0,165.0,174.0,492.0,219.0,144.0,187.0,566.0,7,3,3,1,21,14,5,7,23,24,15,27,24,2019-11-14
1610612754,Indiana Pacers,11,7,4,0.636,533.0,227.0,156.0,138.0,576.0,167.0,134.0,115.0,504.0,7,9,9,1,10,3,10,16,7,5,10,2,10,2019-11-14
1610612746,LA Clippers,12,7,5,0.583,576.0,224.0,180.0,179.0,600.0,217.0,127.0,166.0,510.0,1,9,13,1,3,5,2,5,3,22,7,23,11,2019-11-14
1610612747,Los Angeles Lakers,11,9,2,0.818,533.0,210.0,162.0,147.0,604.0,194.0,133.0,193.0,478.0,7,1,2,1,10,11,6,14,1,16,9,28,7,2019-11-14
1610612763,Memphis Grizzlies,11,4,7,0.364,533.0,165.0,149.0,171.0,604.0,250.0,168.0,178.0,548.0,7,16,17,15,10,28,15,8,1,30,27,26,19,2019-11-14
1610612748,Miami Heat,11,8,3,0.727,533.0,226.0,121.0,136.0,526.0,226.0,145.0,146.0,516.0,7,3,3,1,10,4,25,18,15,27,17,16,13,2019-11-14
1610612749,Milwaukee Bucks,11,8,3,0.727,533.0,208.0,157.0,200.0,570.0,191.0,114.0,138.0,418.0,7,3,3,1,10,12,9,2,10,12,2,10,1,2019-11-14
1610612750,Minnesota Timberwolves,11,7,4,0.636,543.0,204.0,159.0,114.0,572.0,182.0,150.0,141.0,544.0,7,9,9,1,7,15,8,29,9,9,21,12,18,2019-11-14
1610612740,New Orleans Pelicans,11,3,8,0.273,533.0,218.0,151.0,188.0,552.0,244.0,166.0,213.0,600.0,7,27,25,15,10,6,14,4,11,29,26,30,26,2019-11-14
