TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Date
1610612737,Atlanta Hawks,11,5,6,0.455,543.0,190.0,164.0,178.0,558.0,191.0,176.0,187.0,572.0,2,13,18,17,2,9,4,6,6,20,30,28,29,07/30/2020
1610612738,Boston Celtics,10,5,5,0.5,490.0,157.0,137.0,155.0,458.0,150.0,156.0,136.0,436.0,14,13,10,1,14,23,14,12,20,6,28,14,5,07/30/2020
1610612751,Brooklyn Nets,11,5,6,0.455,538.0,137.0,174.0,135.0,518.0,175.0,138.0,157.0,490.0,2,13,18,17,3,29,3,19,11,14,16,18,16,07/30/2020
1610612766,Charlotte Hornets,11,5,6,0.455,538.0,163.0,161.0,129.0,486.0,173.0,125.0,142.0,542.0,2,13,18,17,3,21,6,21,18,13,10,15,24,07/30/2020
1610612741,Chicago Bulls,10,3,7,0.3,480.0,223.0,154.0,125.0,502.0,186.0,137.0,130.0,514.0,14,27,24,17,18,2,8,25,16,18,14,9,20,07/30/2020
1610612739,Cleveland Cavaliers,11,5,6,0.455,538.0,182.0,137.0,142.0,576.0,212.0,145.0,127.0,554.0,2,13,18,17,3,14,14,17,3,29,22,8,27,07/30/2020
1610612742,Dallas Mavericks,12,7,5,0.583,581.0,187.0,156.0,153.0,546.0,168.0,159.0,212.0,570.0,1,2,10,1,1,11,7,14,8,10,29,30,28,07/30/2020
1610612743,Denver Nuggets,10,5,5,0.5,480.0,174.0,130.0,128.0,522.0,213.0,137.0,133.0,460.0,14,13,10,1,18,16,16,22,9,30,14,11,8,07/30/2020
1610612765,Detroit Pistons,9,1,8,0.111,432.0,136.0,119.0,89.0,384.0,145.0,113.0,122.0,476.0,27,30,29,17,28,30,22,28,29,3,7,5,13,07/30/2020
1610612744,Golden State Warriors,10,3,7,0.3,480.0,153.0,112.0,127.0,494.0,193.0,123.0,179.0,474.0,14,27,24,17,18,25,24,24,17,21,9,23,11,07/30/2020
1610612745,Houston Rockets,10,6,4,0.6,485.0,204.0,110.0,165.0,450.0,185.0,143.0,155.0,528.0,14,8,7,1,15,5,25,10,23,16,20,17,21,07/30/2020
1610612754,Indiana Pacers,10,7,3,0.7,480.0,183.0,123.0,154.0,520.0,138.0,103.0,185.0,470.0,14,2,3,1,18,13,18,13,10,2,3,26,10,07/30/2020
1610612746,LA Clippers,10,7,3,0.7,480.0,197.0,138.0,152.0,418.0,169.0,114.0,113.0,444.0,14,2,3,1,18,7,13,15,27,12,8,3,7,07/30/2020
1610612747,Los Angeles Lakers,11,9,2,0.818,528.0,215.0,118.0,226.0,552.0,210.0,142.0,207.0,502.0,2,1,1,1,10,3,23,1,7,28,19,29,18,07/30/2020
1610612763,Memphis Grizzlies,11,4,7,0.364,528.0,195.0,179.0,210.0,582.0,205.0,143.0,179.0,486.0,2,21,24,17,10,8,2,3,2,27,20,23,15,07/30/2020
1610612748,Miami Heat,11,6,5,0.545,533.0,178.0,123.0,139.0,464.0,197.0,138.0,125.0,468.0,2,8,10,1,6,15,18,18,19,24,16,7,9,07/30/2020
1610612749,Milwaukee Bucks,11,7,4,0.636,533.0,187.0,128.0,183.0,508.0,196.0,109.0,168.0,428.0,2,2,7,1,6,11,17,5,15,22,4,22,3,07/30/2020
1610612750,Minnesota Timberwolves,11,3,8,0.273,528.0,209.0,123.0,176.0,564.0,185.0,155.0,166.0,652.0,2,27,29,17,10,4,18,8,4,16,27,21,30,07/30/2020
1610612740,New Orleans Pelicans,10,5,5,0.5,485.0,166.0,164.0,198.0,562.0,199.0,141.0,185.0,536.0,14,13,10,1,15,20,4,4,5,26,18,26,23,07/30/2020
1610612752,New York Knicks,11,4,7,0.364,533.0,142.0,180.0,88.0,642.0,196.0,150.0,119.0,508.0,2,21,24,17,6,27,1,29,1,22,25,4,19,07/30/2020
1610612760,Oklahoma City Thunder,9,7,2,0.778,432.0,173.0,88.0,83.0,426.0,148.0,132.0,95.0,434.0,27,2,1,1,28,17,28,30,26,5,12,1,4,07/30/2020
1610612753,Orlando Magic,10,6,4,0.6,480.0,188.0,147.0,135.0,518.0,136.0,96.0,123.0,500.0,14,8,7,1,18,10,10,19,11,1,1,6,17,07/30/2020
1610612755,Philadelphia 76ers,10,5,5,0.5,485.0,169.0,152.0,128.0,450.0,155.0,111.0,161.0,542.0,14,13,10,1,15,18,9,22,23,7,5,19,24,07/30/2020
1610612756,Phoenix Suns,10,4,6,0.4,480.0,202.0,120.0,157.0,454.0,197.0,145.0,150.0,484.0,14,21,18,17,18,6,21,11,22,24,22,16,14,07/30/2020
1610612757,Portland Trail Blazers,10,4,6,0.4,480.0,160.0,145.0,174.0,458.0,168.0,134.0,181.0,414.0,14,21,18,17,18,22,12,9,20,10,13,25,2,07/30/2020
