TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD1,OPP_PTS_RANK,PLUS_MINUS_RANK,Date
1610612737,Atlanta Hawks,11,5,6,0.455,543.0,487.0,1014.0,0.48,148.0,389.0,0.38,240.0,310.0,0.774,119.0,398.0,517.0,296.0,149.0,97.0,76.0,48.0,239.0,250.0,1362.0,45.0,2,13,18,17,2,28,28,20,26,24,21,30,30,14,25,27,28,28,14,29,30,14,26,2,29,26,07/30/2020
1610612738,Boston Celtics,10,5,5,0.5,490.0,393.0,888.0,0.443,129.0,383.0,0.337,186.0,243.0,0.765,113.0,346.0,459.0,208.0,148.0,75.0,59.0,50.0,206.0,212.0,1101.0,-24.0,14,13,10,13,14,7,13,6,14,23,8,16,17,11,23,16,17,1,15,7,25,13,13,15,7,10,07/30/2020
1610612751,Brooklyn Nets,11,5,6,0.455,538.0,454.0,1021.0,0.445,149.0,408.0,0.365,190.0,244.0,0.779,107.0,379.0,486.0,266.0,120.0,84.0,50.0,42.0,229.0,239.0,1247.0,17.0,2,13,18,17,3,24,29,7,28,25,19,18,18,20,20,24,23,19,29,15,16,20,22,5,24,19,07/30/2020
1610612766,Charlotte Hornets,11,5,6,0.455,538.0,448.0,946.0,0.474,125.0,380.0,0.329,154.0,211.0,0.73,123.0,375.0,498.0,287.0,150.0,90.0,58.0,42.0,225.0,189.0,1175.0,45.0,2,13,18,17,3,23,20,19,12,22,3,3,4,3,28,23,25,26,13,21,24,20,20,26,19,26,07/30/2020
1610612741,Chicago Bulls,10,3,7,0.3,480.0,389.0,778.0,0.5,108.0,299.0,0.361,238.0,306.0,0.778,100.0,330.0,430.0,253.0,197.0,84.0,49.0,46.0,192.0,244.0,1124.0,30.0,14,27,24,27,18,6,2,27,3,2,17,29,29,17,12,7,11,13,2,15,15,18,6,3,10,21,07/30/2020
1610612739,Cleveland Cavaliers,11,5,6,0.455,538.0,476.0,981.0,0.485,140.0,366.0,0.383,159.0,205.0,0.776,108.0,354.0,462.0,296.0,156.0,120.0,67.0,37.0,227.0,197.0,1251.0,34.0,2,13,18,17,3,27,23,24,20,18,22,5,3,15,21,19,19,28,11,30,28,28,21,23,25,22,07/30/2020
1610612742,Dallas Mavericks,12,7,5,0.583,581.0,506.0,1119.0,0.452,146.0,438.0,0.333,158.0,231.0,0.684,120.0,443.0,563.0,294.0,157.0,91.0,57.0,76.0,241.0,223.0,1316.0,-76.0,1,2,10,10,1,29,30,9,24,30,5,4,13,1,26,30,30,27,10,23,23,1,27,10,28,3,07/30/2020
1610612743,Denver Nuggets,10,5,5,0.5,480.0,400.0,853.0,0.469,136.0,371.0,0.367,181.0,229.0,0.79,100.0,305.0,405.0,261.0,142.0,82.0,29.0,42.0,196.0,210.0,1117.0,15.0,14,13,10,13,18,10,7,18,18,20,20,12,12,26,12,3,5,18,18,12,1,20,9,18,9,17,07/30/2020
1610612765,Detroit Pistons,9,1,8,0.111,432.0,378.0,736.0,0.514,90.0,249.0,0.361,164.0,213.0,0.77,85.0,301.0,386.0,211.0,117.0,89.0,44.0,31.0,158.0,197.0,1010.0,87.0,27,30,29,30,28,5,1,28,1,1,18,6,5,13,5,1,1,2,30,20,10,30,1,23,3,28,07/30/2020
1610612744,Golden State Warriors,10,3,7,0.3,480.0,416.0,859.0,0.484,144.0,343.0,0.42,191.0,244.0,0.783,89.0,337.0,426.0,269.0,139.0,78.0,43.0,42.0,205.0,211.0,1167.0,102.0,14,27,24,27,18,15,10,23,23,10,30,19,18,22,8,14,10,20,20,10,8,20,11,16,17,30,07/30/2020
