TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,Date
1610612746,LA Clippers,1,1,0,1.0,48.0,0.617,0.383,0.554,0.179,0.295,0.196,0.152,0.223,0.375,0.452,0.548,0.909,0.091,0.571,0.429,1,1,1,1,3,1,4,1,1,4,1,2,1,3,2,3,3,2,2,3,10/22/2019
1610612747,Los Angeles Lakers,1,0,1,0.0,48.0,0.612,0.388,0.471,0.078,0.382,0.049,0.147,0.167,0.392,0.292,0.708,1.0,0.0,0.541,0.459,1,3,3,3,3,2,3,2,3,2,4,3,3,2,4,1,1,4,4,1,10/22/2019
1610612740,New Orleans Pelicans,1,0,1,0.0,53.0,0.559,0.441,0.393,0.082,0.467,0.107,0.139,0.164,0.311,0.583,0.417,0.842,0.158,0.698,0.302,1,3,3,3,1,4,1,4,2,1,3,4,4,4,1,4,4,1,1,4,10/22/2019
1610612761,Toronto Raptors,1,1,0,1.0,53.0,0.612,0.388,0.431,0.0,0.323,0.154,0.246,0.169,0.431,0.357,0.643,0.929,0.071,0.548,0.452,1,1,1,1,1,3,2,3,4,3,2,1,2,1,3,2,2,3,3,2,10/22/2019
1610612738,Boston Celtics,1,0,1,0.0,48.0,0.711,0.289,0.559,0.086,0.226,0.086,0.215,0.215,0.473,0.538,0.462,0.571,0.429,0.545,0.455,1,14,14,14,5,6,21,12,12,18,22,8,6,12,9,18,24,2,14,12,10/23/2019
1610612751,Brooklyn Nets,1,0,1,0.0,53.0,0.663,0.337,0.524,0.048,0.357,0.159,0.119,0.111,0.476,0.303,0.697,0.6,0.4,0.396,0.604,1,14,14,14,1,12,15,15,20,5,10,22,20,11,24,3,22,4,24,3,10/23/2019
1610612766,Charlotte Hornets,1,1,0,1.0,48.0,0.5,0.5,0.349,0.016,0.548,0.198,0.103,0.103,0.333,0.364,0.636,0.87,0.13,0.622,0.378,1,1,1,1,5,26,1,25,25,1,5,26,22,23,19,6,12,15,9,18,10/23/2019
1610612741,Chicago Bulls,1,0,1,0.0,48.0,0.714,0.286,0.64,0.016,0.216,0.168,0.144,0.232,0.624,0.425,0.575,0.889,0.111,0.51,0.49,1,14,14,14,5,5,22,3,24,20,9,18,4,1,15,12,10,16,18,9,10/23/2019
1610612739,Cleveland Cavaliers,1,0,1,0.0,48.0,0.614,0.386,0.565,0.071,0.318,0.118,0.118,0.129,0.494,0.542,0.458,0.778,0.222,0.606,0.394,1,14,14,14,5,18,9,10,16,8,16,23,16,10,8,19,17,9,10,17,10/23/2019
1610612742,Dallas Mavericks,1,1,0,1.0,48.0,0.526,0.474,0.444,0.111,0.306,0.13,0.25,0.167,0.333,0.375,0.625,0.727,0.273,0.486,0.514,1,1,1,1,5,25,2,22,6,12,14,2,11,23,17,9,20,7,21,6,10/23/2019
