TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,Date
1610612737,Atlanta Hawks,11,5,6,0.455,49.4,0.588,0.412,0.489,0.065,0.344,0.135,0.167,0.144,0.424,0.531,0.469,0.795,0.205,0.615,0.385,2,13,18,17,1,20,11,18,19,13,13,11,19,16,11,20,19,12,11,20,07/30/2020
1610612738,Boston Celtics,10,5,5,0.5,49.0,0.61,0.39,0.496,0.089,0.341,0.138,0.163,0.14,0.407,0.437,0.563,0.633,0.367,0.499,0.501,14,13,10,13,2,16,15,16,13,15,11,15,24,19,26,4,30,1,29,2,07/30/2020
1610612751,Brooklyn Nets,11,5,6,0.455,48.9,0.555,0.445,0.468,0.047,0.359,0.11,0.173,0.111,0.421,0.538,0.462,0.755,0.245,0.611,0.389,2,13,18,17,3,27,4,23,25,10,26,6,30,17,9,22,26,5,13,18,07/30/2020
1610612766,Charlotte Hornets,11,5,6,0.455,48.9,0.604,0.396,0.473,0.042,0.364,0.114,0.164,0.144,0.43,0.558,0.442,0.847,0.153,0.656,0.344,2,13,18,17,3,17,14,22,28,7,21,13,20,14,7,24,12,19,5,26,07/30/2020
1610612741,Chicago Bulls,10,3,7,0.3,48.0,0.617,0.383,0.547,0.088,0.335,0.114,0.119,0.204,0.459,0.458,0.542,0.828,0.172,0.565,0.435,14,27,24,27,15,12,19,7,14,17,20,30,1,8,25,6,14,17,25,6,07/30/2020
1610612739,Cleveland Cavaliers,11,5,6,0.455,48.9,0.638,0.362,0.541,0.067,0.311,0.117,0.149,0.15,0.473,0.562,0.438,0.857,0.143,0.644,0.356,2,13,18,17,3,8,23,9,18,22,18,23,14,6,5,26,10,21,6,25,07/30/2020
1610612742,Dallas Mavericks,12,7,5,0.583,48.4,0.52,0.48,0.455,0.063,0.407,0.11,0.137,0.134,0.392,0.502,0.498,0.778,0.222,0.605,0.395,1,2,10,10,14,29,2,25,21,2,25,28,27,23,17,14,25,6,15,16,07/30/2020
1610612743,Denver Nuggets,10,5,5,0.5,48.0,0.653,0.347,0.583,0.109,0.291,0.116,0.126,0.158,0.474,0.548,0.452,0.86,0.14,0.626,0.374,14,13,10,13,15,6,25,3,5,25,19,29,11,5,8,23,8,23,9,22,07/30/2020
1610612765,Detroit Pistons,9,1,8,0.111,48.0,0.56,0.44,0.468,0.052,0.387,0.096,0.145,0.147,0.416,0.56,0.44,0.782,0.218,0.639,0.361,27,30,29,30,15,26,5,24,23,4,28,24,16,18,6,25,23,8,7,24,07/30/2020
1610612744,Golden State Warriors,10,3,7,0.3,48.0,0.6,0.4,0.56,0.096,0.285,0.119,0.156,0.144,0.464,0.617,0.383,0.921,0.079,0.694,0.306,14,27,24,27,15,18,13,4,9,27,16,19,21,7,3,28,1,30,3,28,07/30/2020
