TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Date
1610612737,Atlanta Hawks,10,5,5,0.5,480.0,393,899,0.437,140,390,0.359,213,263,0.81,124,373,497,244,144.0,64,35,56,211,206,1139,44.0,25,17,10,13,29,28,25,28,18,17,17,7,10,5,9,21,17,24,4,28,28,12,8,26,25,7,01/14/2021
1610612738,Boston Celtics,10,7,3,0.7,480.0,426,888,0.48,122,311,0.392,156,208,0.75,116,336,452,232,157.0,91,66,55,214,197,1130,18.0,25,6,1,2,29,23,26,6,25,30,5,27,28,21,15,30,27,27,10,11,8,11,10,29,26,11,01/14/2021
1610612751,Brooklyn Nets,13,7,6,0.538,629.0,557,1143,0.487,186,473,0.393,242,304,0.796,116,487,603,340,205.0,90,75,53,245,271,1542,74.0,1,6,13,12,1,2,3,4,3,4,4,1,2,8,15,2,3,2,29,12,3,10,21,1,1,3,01/14/2021
1610612766,Charlotte Hornets,13,6,7,0.462,624.0,508,1141,0.445,169,465,0.363,209,285,0.733,142,437,579,376,199.0,122,72,72,247,250,1394,-4.0,1,11,22,17,3,7,4,21,7,5,16,9,6,25,1,5,4,1,27,1,5,27,22,7,6,15,01/14/2021
1610612741,Chicago Bulls,11,4,7,0.364,528.0,461,967,0.477,147,390,0.377,208,255,0.816,92,385,477,274,196.0,82,40,50,236,245,1277,-55.0,15,23,22,26,19,15,22,10,13,17,9,10,11,3,25,17,23,16,25,19,25,7,17,8,14,24,01/14/2021
1610612739,Cleveland Cavaliers,12,5,7,0.417,586.0,462,1046,0.442,115,334,0.344,148,227,0.652,133,389,522,284,197.0,122,57,61,227,220,1187,-61.0,5,17,22,20,5,14,12,25,26,26,23,28,25,30,2,14,12,15,26,1,16,18,13,17,21,25,01/14/2021
1610612742,Dallas Mavericks,10,6,4,0.6,485.0,385,853,0.451,138,396,0.348,186,247,0.753,84,358,442,225,134.0,83,48,37,211,223,1094,50.0,25,11,3,9,25,30,29,17,21,16,22,14,14,15,27,28,28,30,2,18,23,3,8,16,29,5,01/14/2021
1610612743,Denver Nuggets,12,6,6,0.5,586.0,517,1053,0.491,154,409,0.377,207,280,0.739,120,389,509,328,177.0,103,53,52,249,270,1395,41.0,5,11,13,13,5,6,11,3,11,14,11,12,7,22,13,14,15,5,20,7,21,9,23,2,5,8,01/14/2021
1610612765,Detroit Pistons,11,2,9,0.182,543.0,423,1019,0.415,142,418,0.34,201,252,0.798,124,361,485,261,151.0,92,48,69,216,234,1189,-75.0,15,30,30,30,15,24,14,30,15,10,25,13,13,7,9,27,21,22,8,10,23,24,12,11,20,27,01/14/2021
1610612744,Golden State Warriors,12,6,6,0.5,576.0,471,1073,0.439,160,454,0.352,234,297,0.788,98,431,529,303,180.0,90,73,66,281,264,1336,-48.0,5,11,13,13,11,13,9,27,10,6,20,3,3,10,24,6,9,10,22,12,4,22,30,4,11,23,01/14/2021
1610612745,Houston Rockets,10,4,6,0.4,485.0,402,862,0.466,131,382,0.343,176,234,0.752,83,347,430,233,154.0,78,67,59,199,203,1111,-13.0,25,23,13,23,25,26,27,14,23,19,24,23,20,16,28,29,30,26,9,24,7,15,4,28,27,18,01/14/2021
1610612754,Indiana Pacers,12,8,4,0.667,581.0,523,1081,0.484,142,398,0.357,184,245,0.751,103,414,517,319,163.0,115,68,74,256,233,1372,74.0,5,3,3,4,7,5,8,5,15,15,19,16,16,20,22,12,13,6,15,3,6,28,26,12,9,3,01/14/2021
1610612746,LA Clippers,12,8,4,0.667,576.0,477,1010,0.472,179,417,0.429,208,247,0.842,107,381,488,297,169.0,86,61,35,257,219,1341,16.0,5,3,3,4,11,12,17,11,4,11,1,10,14,1,21,19,20,12,17,15,13,1,27,18,10,12,01/14/2021
1610612747,Los Angeles Lakers,13,10,3,0.769,624.0,565,1145,0.493,163,412,0.396,211,278,0.759,132,503,635,329,201.0,87,86,62,241,261,1504,137.0,1,1,1,1,3,1,2,1,8,13,3,8,8,14,3,1,1,4,28,14,2,20,18,6,2,1,01/14/2021
1610612763,Memphis Grizzlies,11,5,6,0.455,533.0,457,1016,0.45,112,338,0.331,146,188,0.777,118,389,507,295,159.0,107,57,67,203,189,1172,-15.0,15,17,13,18,16,16,15,18,28,25,26,29,30,12,14,14,16,13,11,6,16,23,5,30,22,20,01/14/2021
1610612748,Miami Heat,10,4,6,0.4,485.0,401,837,0.479,132,369,0.358,176,234,0.752,72,366,438,269,178.0,68,34,36,205,216,1110,-29.0,25,23,13,23,25,27,30,7,22,23,18,23,20,16,30,25,29,17,21,26,29,2,6,22,28,21,01/14/2021
1610612749,Milwaukee Bucks,12,8,4,0.667,576.0,536,1087,0.493,198,479,0.413,181,241,0.751,127,442,569,319,182.0,113,62,60,234,224,1451,137.0,5,3,3,4,11,4,7,2,1,2,2,19,18,19,7,4,5,6,23,4,12,17,16,15,4,1,01/14/2021
1610612750,Minnesota Timberwolves,11,3,8,0.273,533.0,446,1005,0.444,124,378,0.328,179,238,0.752,128,369,497,262,162.0,82,55,58,227,219,1195,-111.0,15,27,27,27,16,18,18,23,24,20,28,22,19,18,6,24,17,21,14,19,20,14,13,18,19,30,01/14/2021
1610612740,New Orleans Pelicans,10,4,6,0.4,485.0,393,858,0.458,102,314,0.325,182,255,0.714,114,370,484,228,161.0,81,39,51,175,218,1070,0.0,25,23,13,23,25,28,28,15,30,29,30,17,11,28,17,23,22,29,12,21,26,8,1,21,30,14,01/14/2021
