TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Date
1610612751,Brooklyn Nets,1,1,0,1.0,48.0,42,92,0.457,15,35,0.429,26,32,0.813,13,44,57,24,20.0,11,7,6,22,24,125,26.0,1,1,1,1,1,2,3,3,1,2,1,1,1,1,1,1,1,2,4,1,1,3,2,2,1,1,12/22/2020
1610612744,Golden State Warriors,1,0,1,0.0,48.0,37,99,0.374,10,33,0.303,15,23,0.652,13,34,47,26,18.0,6,6,7,24,22,99,-26.0,1,3,3,3,1,4,1,4,3,3,4,3,3,4,1,3,2,1,2,3,2,4,3,3,4,4,12/22/2020
1610612746,LA Clippers,1,1,0,1.0,48.0,44,93,0.473,14,40,0.35,14,19,0.737,11,29,40,22,16.0,10,3,2,29,20,116,7.0,1,1,1,1,1,1,2,1,2,1,2,4,4,3,3,4,4,3,1,2,3,1,4,4,2,2,12/22/2020
1610612747,Los Angeles Lakers,1,0,1,0.0,48.0,38,81,0.469,9,29,0.31,24,31,0.774,8,37,45,22,19.0,4,2,3,20,29,109,-7.0,1,3,3,3,1,3,4,2,4,4,3,2,2,2,4,2,3,3,3,4,4,2,1,1,3,3,12/22/2020
1610612737,Atlanta Hawks,1,1,0,1.0,48.0,43,80,0.538,14,35,0.4,24,29,0.828,8,38,46,24,23.0,6,3,3,29,22,124,20.0,1,1,1,1,3,12,26,1,6,9,7,3,6,7,14,8,12,16,27,16,18,5,26,12,3,2,12/23/2020
1610612738,Boston Celtics,1,1,0,1.0,48.0,48,101,0.475,18,40,0.45,8,11,0.727,10,27,37,23,7.0,8,6,6,17,20,122,1.0,1,1,1,1,3,2,2,14,3,6,4,26,27,19,9,27,25,19,2,11,11,16,3,17,5,14,12/23/2020
1610612751,Brooklyn Nets,1,1,0,1.0,48.0,42,92,0.457,15,35,0.429,26,32,0.813,13,44,57,24,20.0,11,7,6,22,24,125,26.0,1,1,1,1,3,14,11,21,5,9,5,1,1,9,2,2,2,16,22,4,7,16,14,9,2,1,12/23/2020
1610612766,Charlotte Hornets,1,0,1,0.0,48.0,45,90,0.5,16,44,0.364,8,15,0.533,8,24,32,29,15.0,10,4,3,17,22,114,-7.0,1,15,15,15,3,8,13,8,4,3,13,26,25,26,14,28,28,3,9,7,16,5,3,12,13,20,12/23/2020
1610612741,Chicago Bulls,1,0,1,0.0,48.0,36,87,0.414,8,35,0.229,24,28,0.857,8,29,37,20,17.0,10,3,3,22,29,104,-20.0,1,15,15,15,3,27,18,26,23,9,27,3,9,2,14,24,25,26,16,7,18,5,14,1,23,26,12/23/2020
1610612739,Cleveland Cavaliers,1,1,0,1.0,48.0,46,87,0.529,14,30,0.467,15,20,0.75,10,40,50,34,21.0,12,3,4,22,17,121,7.0,1,1,1,1,3,5,18,2,6,18,2,17,17,15,9,5,5,1,24,3,18,12,14,24,7,8,12/23/2020
