TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Date
1610612751,Brooklyn Nets,1,1,0,1.0,48.0,88.4,44,0.719,11,7,19.0,21.0,12.0,44.0,1,1,1,1,1,1,1,3,1,1,2,3,1,2,12/22/2020
1610612744,Golden State Warriors,1,0,1,0.0,48.0,111.6,34,0.685,6,6,23.0,21.0,28.0,46.0,1,3,3,3,1,4,3,4,3,2,4,3,4,3,12/22/2020
1610612746,LA Clippers,1,1,0,1.0,48.0,104.8,29,0.75,10,3,19.0,9.0,12.0,38.0,1,1,1,1,1,2,4,1,2,3,2,1,1,1,12/22/2020
1610612747,Los Angeles Lakers,1,0,1,0.0,48.0,111.5,37,0.731,4,2,16.0,15.0,16.0,50.0,1,3,3,3,1,3,2,2,4,4,1,2,3,4,12/22/2020
1610612737,Atlanta Hawks,1,1,0,1.0,48.0,97.2,38,0.75,6,3,16.0,14.0,12.0,44.0,1,1,1,1,3,3,8,14,16,18,9,20,6,7,12/23/2020
1610612738,Boston Celtics,1,1,0,1.0,48.0,119.8,27,0.667,8,6,8.0,19.0,18.0,50.0,1,1,1,1,3,25,27,27,11,11,1,25,14,15,12/23/2020
1610612751,Brooklyn Nets,1,1,0,1.0,48.0,88.4,44,0.719,11,7,19.0,21.0,12.0,44.0,1,1,1,1,3,1,2,20,4,7,16,27,6,7,12/23/2020
1610612766,Charlotte Hornets,1,0,1,0.0,48.0,118.6,24,0.659,10,4,16.0,8.0,21.0,62.0,1,15,15,15,3,24,28,28,7,16,9,7,19,23,12/23/2020
1610612741,Chicago Bulls,1,0,1,0.0,48.0,117.0,29,0.769,10,3,29.0,8.0,23.0,50.0,1,15,15,15,3,23,24,11,7,18,27,7,24,15,12/23/2020
1610612739,Cleveland Cavaliers,1,1,0,1.0,48.0,111.8,40,0.8,12,3,27.0,8.0,21.0,56.0,1,1,1,1,3,21,5,7,3,18,26,7,19,21,12/23/2020
1610612742,Dallas Mavericks,1,0,1,0.0,48.0,102.9,33,0.795,6,0,13.0,8.0,24.0,38.0,1,15,15,15,3,10,22,8,16,28,7,7,26,4,12/23/2020
1610612743,Denver Nuggets,1,0,1,0.0,53.0,111.7,36,0.678,6,11,11.0,9.0,19.0,62.0,1,15,15,15,1,20,14,26,16,1,4,14,15,23,12/23/2020
1610612765,Detroit Pistons,1,0,1,0.0,48.0,109.9,37,0.745,5,2,16.0,16.0,17.0,44.0,1,15,15,15,3,17,9,16,24,25,9,23,13,7,12/23/2020
1610612744,Golden State Warriors,1,0,1,0.0,48.0,111.6,34,0.685,6,6,23.0,21.0,28.0,46.0,1,15,15,15,3,19,20,25,16,11,22,27,27,13,12/23/2020
1610612754,Indiana Pacers,1,1,0,1.0,48.0,101.9,40,0.898,6,9,12.0,6.0,11.0,52.0,1,1,1,1,3,9,5,1,16,2,5,4,4,18,12/23/2020
1610612746,LA Clippers,1,1,0,1.0,48.0,104.8,29,0.75,10,3,19.0,9.0,12.0,38.0,1,1,1,1,3,12,24,14,7,18,16,14,6,4,12/23/2020
1610612747,Los Angeles Lakers,1,0,1,0.0,48.0,111.5,37,0.731,4,2,16.0,15.0,16.0,50.0,1,15,15,15,3,18,9,17,26,25,9,22,11,15,12/23/2020
1610612763,Memphis Grizzlies,1,0,1,0.0,48.0,120.2,37,0.776,6,8,12.0,5.0,22.0,60.0,1,15,15,15,3,27,9,10,16,3,5,3,23,22,12/23/2020
1610612748,Miami Heat,1,0,1,0.0,48.0,105.6,36,0.717,11,2,24.0,12.0,21.0,44.0,1,15,15,15,3,13,14,21,4,25,23,19,19,7,12/23/2020
