TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Date
1610612737,Atlanta Hawks,10,5,5,0.5,480.0,108.2,373,0.751,64,35,147.0,122.0,101.0,468.0,25,17,10,13,29,11,21,9,28,28,2,3,1,6,01/14/2021
1610612738,Boston Celtics,10,7,3,0.7,480.0,110.3,336,0.736,91,66,176.0,138.0,138.0,462.0,25,6,1,2,29,20,30,17,11,8,6,16,10,5,01/14/2021
1610612751,Brooklyn Nets,13,7,6,0.538,629.0,108.9,487,0.716,90,75,224.0,212.0,169.0,646.0,1,6,13,12,1,13,2,24,12,3,22,30,24,30,01/14/2021
1610612766,Charlotte Hornets,13,6,7,0.462,624.0,107.5,437,0.704,122,72,238.0,167.0,200.0,618.0,1,11,22,17,3,8,5,30,1,5,28,25,29,28,01/14/2021
1610612741,Chicago Bulls,11,4,7,0.364,528.0,115.9,385,0.754,82,40,224.0,133.0,131.0,472.0,15,23,22,26,19,29,17,7,19,25,22,11,6,7,01/14/2021
1610612739,Cleveland Cavaliers,12,5,7,0.417,586.0,104.7,389,0.705,122,57,212.0,128.0,150.0,514.0,5,17,22,20,5,3,14,29,1,16,19,7,17,14,01/14/2021
1610612742,Dallas Mavericks,10,6,4,0.6,485.0,104.6,358,0.736,83,48,161.0,133.0,119.0,422.0,25,11,3,9,25,2,28,16,18,23,3,11,5,3,01/14/2021
1610612743,Denver Nuggets,12,6,6,0.5,586.0,112.1,389,0.734,103,53,233.0,132.0,149.0,570.0,5,11,13,13,5,24,14,18,7,21,27,10,16,24,01/14/2021
1610612765,Detroit Pistons,11,2,9,0.182,543.0,111.9,361,0.733,92,48,175.0,129.0,141.0,510.0,15,30,30,30,15,23,27,20,10,23,5,9,13,13,01/14/2021
1610612744,Golden State Warriors,12,6,6,0.5,576.0,110.2,431,0.714,90,73,239.0,179.0,175.0,522.0,5,11,13,13,11,18,6,25,12,4,29,28,25,16,01/14/2021
1610612745,Houston Rockets,10,4,6,0.4,485.0,110.6,347,0.707,78,67,194.0,147.0,163.0,498.0,25,23,13,23,25,21,29,28,24,7,11,19,22,10,01/14/2021
1610612754,Indiana Pacers,12,8,4,0.667,581.0,106.4,414,0.738,115,68,177.0,136.0,139.0,566.0,5,3,3,4,7,5,12,14,3,6,7,15,11,21,01/14/2021
1610612746,LA Clippers,12,8,4,0.667,576.0,113.3,381,0.736,86,61,196.0,126.0,159.0,506.0,5,3,3,4,11,25,19,15,15,13,13,6,21,12,01/14/2021
1610612747,Los Angeles Lakers,13,10,3,0.769,624.0,104.4,503,0.764,87,86,228.0,154.0,164.0,614.0,1,1,1,1,3,1,1,2,14,2,25,21,23,27,01/14/2021
1610612763,Memphis Grizzlies,11,5,6,0.455,533.0,106.6,389,0.745,107,57,200.0,107.0,150.0,498.0,15,17,13,18,16,6,14,12,6,16,16,1,17,10,01/14/2021
1610612748,Miami Heat,10,4,6,0.4,485.0,109.8,366,0.739,68,34,219.0,135.0,142.0,384.0,25,23,13,23,25,17,25,13,26,29,20,14,14,2,01/14/2021
1610612749,Milwaukee Bucks,12,8,4,0.667,576.0,107.3,442,0.731,113,62,221.0,162.0,113.0,496.0,5,3,3,4,11,7,4,22,4,12,21,24,3,8,01/14/2021
1610612750,Minnesota Timberwolves,11,3,8,0.273,533.0,115.0,369,0.707,82,55,207.0,154.0,178.0,602.0,15,27,27,27,16,28,24,27,19,20,18,21,26,25,01/14/2021
1610612740,New Orleans Pelicans,10,4,6,0.4,485.0,107.9,370,0.79,81,39,201.0,112.0,135.0,378.0,25,23,13,23,25,10,23,1,21,26,17,2,8,1,01/14/2021
1610612752,New York Knicks,12,5,7,0.417,576.0,109.7,424,0.73,79,56,226.0,144.0,152.0,556.0,5,17,22,20,11,16,9,23,23,18,24,18,19,19,01/14/2021
1610612760,Oklahoma City Thunder,11,5,6,0.455,528.0,110.2,417,0.75,68,58,194.0,133.0,103.0,560.0,15,17,13,18,19,19,10,10,26,15,11,11,2,20,01/14/2021
1610612753,Orlando Magic,11,6,5,0.545,528.0,109.7,385,0.757,84,33,179.0,128.0,132.0,544.0,15,11,10,11,19,15,17,3,16,30,8,7,7,18,01/14/2021
1610612755,Philadelphia 76ers,13,9,4,0.692,629.0,106.0,486,0.734,113,88,263.0,180.0,229.0,566.0,1,2,3,3,1,4,3,19,4,1,30,29,30,21,01/14/2021
1610612756,Phoenix Suns,11,7,4,0.636,533.0,108.7,381,0.747,61,50,166.0,147.0,135.0,496.0,15,6,3,7,16,12,19,11,29,22,4,19,8,8,01/14/2021
1610612757,Portland Trail Blazers,12,7,5,0.583,581.0,113.5,417,0.732,102,56,186.0,168.0,193.0,568.0,5,6,10,10,7,26,10,21,8,18,10,26,28,23,01/14/2021
1610612758,Sacramento Kings,12,5,7,0.417,581.0,118.2,405,0.753,75,64,232.0,142.0,178.0,632.0,5,17,22,20,7,30,13,8,25,10,26,17,26,29,01/14/2021
1610612759,San Antonio Spurs,12,6,6,0.5,581.0,109.4,431,0.755,84,60,142.0,169.0,146.0,606.0,5,11,13,13,7,14,6,5,16,14,1,27,15,26,01/14/2021
1610612761,Toronto Raptors,11,3,8,0.273,528.0,111.0,366,0.709,97,66,199.0,156.0,158.0,448.0,15,27,27,27,19,22,25,26,9,8,15,23,20,4,01/14/2021
1610612762,Utah Jazz,11,7,4,0.636,528.0,107.6,426,0.755,60,63,197.0,122.0,139.0,530.0,15,6,3,7,19,9,8,6,30,11,14,3,11,17,01/14/2021
1610612764,Washington Wizards,11,3,8,0.273,528.0,114.4,371,0.756,80,38,184.0,123.0,113.0,520.0,15,27,27,27,19,27,22,4,22,27,9,5,3,15,01/14/2021
1610612737,Atlanta Hawks,11,5,6,0.455,528.0,108.7,406,0.746,70,36,174.0,145.0,128.0,508.0,18,19,12,19,24,12,17,11,27,28,4,13,4,9,01/15/2021
1610612738,Boston Celtics,11,8,3,0.727,528.0,109.2,375,0.728,98,70,186.0,158.0,146.0,514.0,18,4,2,2,24,13,24,22,9,4,8,21,12,11,01/15/2021
1610612751,Brooklyn Nets,12,6,6,0.5,581.0,110.8,443,0.716,79,68,205.0,191.0,157.0,602.0,8,10,12,12,9,20,7,25,24,6,15,30,19,24,01/15/2021
