TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,Date
1610612737,Atlanta Hawks,12,8,4,0.667,581.0,0.518,0.212,0.122,0.297,0.507,0.295,0.142,0.301,4,4,8,8,6,23,29,2,10,2,27,21,21,11/10/2022
1610612738,Boston Celtics,11,8,3,0.727,538.0,0.575,0.278,0.137,0.229,0.527,0.266,0.122,0.271,19,4,2,4,21,2,8,5,27,12,17,30,12,11/10/2022
1610612751,Brooklyn Nets,12,5,7,0.417,581.0,0.544,0.276,0.14,0.25,0.516,0.289,0.156,0.331,4,16,18,18,6,8,11,9,24,6,26,7,30,11/10/2022
1610612766,Charlotte Hornets,13,3,10,0.231,639.0,0.5,0.247,0.148,0.302,0.523,0.281,0.146,0.29,1,26,29,28,1,27,21,16,9,9,24,17,18,11/10/2022
1610612741,Chicago Bulls,13,6,7,0.462,624.0,0.526,0.277,0.154,0.271,0.534,0.267,0.163,0.272,1,12,18,15,3,20,10,20,21,19,18,5,13,11/10/2022
1610612739,Cleveland Cavaliers,11,8,3,0.727,543.0,0.559,0.279,0.153,0.295,0.524,0.287,0.146,0.229,19,4,2,4,19,4,7,19,13,10,25,18,1,11/10/2022
1610612742,Dallas Mavericks,11,6,5,0.545,538.0,0.545,0.324,0.139,0.265,0.533,0.275,0.161,0.289,19,12,10,12,21,7,1,8,22,18,22,6,17,11/10/2022
1610612743,Denver Nuggets,11,8,3,0.727,528.0,0.576,0.241,0.162,0.279,0.552,0.248,0.144,0.257,19,4,2,4,28,1,25,26,16,25,9,20,5,11/10/2022
1610612765,Detroit Pistons,12,3,9,0.25,576.0,0.487,0.313,0.144,0.305,0.551,0.242,0.133,0.306,4,26,26,26,14,30,2,13,8,24,5,26,25,11/10/2022
1610612744,Golden State Warriors,11,4,7,0.364,533.0,0.557,0.24,0.16,0.272,0.542,0.33,0.149,0.301,19,23,18,24,25,5,26,25,20,23,30,12,23,11/10/2022
1610612745,Houston Rockets,12,2,10,0.167,576.0,0.506,0.279,0.169,0.344,0.567,0.26,0.154,0.303,4,29,29,30,14,26,6,30,1,29,14,8,24,11/10/2022
1610612754,Indiana Pacers,11,5,6,0.455,528.0,0.538,0.26,0.158,0.323,0.557,0.309,0.148,0.263,19,16,13,16,28,14,16,23,4,26,29,15,8,11/10/2022
