TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Date
1610612738,Boston Celtics,1,1,0,1.0,48.0,22.0,4.0,24.0,44.0,15.0,8.0,2.0,38.0,1,1,1,1,1,2,3,2,2,1,3,1,1,10/18/2022
1610612744,Golden State Warriors,1,1,0,1.0,48.0,27.0,10.0,17.0,38.0,17.0,4.0,27.0,60.0,1,1,1,1,1,1,1,3,3,2,1,4,4,10/18/2022
1610612747,Los Angeles Lakers,1,0,1,0.0,48.0,17.0,4.0,27.0,60.0,27.0,10.0,17.0,38.0,1,3,3,3,1,3,3,1,1,4,4,2,1,10/18/2022
1610612755,Philadelphia 76ers,1,0,1,0.0,48.0,15.0,8.0,2.0,38.0,22.0,4.0,24.0,44.0,1,3,3,3,1,4,2,4,3,3,1,3,3,10/18/2022
1610612737,Atlanta Hawks,1,1,0,1.0,48.0,28.0,8.0,28.0,56.0,13.0,14.0,10.0,60.0,1,1,1,1,3,2,23,1,8,4,13,7,24,10/19/2022
1610612738,Boston Celtics,1,1,0,1.0,48.0,22.0,4.0,24.0,44.0,15.0,8.0,2.0,38.0,1,1,1,1,3,9,25,3,19,6,5,1,5,10/19/2022
1610612751,Brooklyn Nets,1,0,1,0.0,48.0,17.0,4.0,18.0,46.0,26.0,36.0,13.0,62.0,1,15,15,15,3,16,25,12,17,25,28,11,26,10/19/2022
1610612766,Charlotte Hornets,1,1,0,1.0,48.0,25.0,15.0,15.0,54.0,22.0,12.0,10.0,58.0,1,1,1,1,3,5,13,17,12,19,11,7,22,10/19/2022
1610612741,Chicago Bulls,1,1,0,1.0,48.0,17.0,11.0,8.0,32.0,12.0,15.0,8.0,48.0,1,1,1,1,3,16,19,25,28,3,15,3,13,10/19/2022
1610612739,Cleveland Cavaliers,1,0,1,0.0,48.0,20.0,4.0,7.0,52.0,25.0,18.0,20.0,36.0,1,15,15,15,3,12,25,27,13,22,21,21,3,10/19/2022
1610612742,Dallas Mavericks,1,0,1,0.0,48.0,14.0,9.0,9.0,36.0,18.0,13.0,9.0,56.0,1,15,15,15,3,24,22,23,25,14,12,5,18,10/19/2022
