TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,Date
1610612737,Atlanta Hawks,12,8,4,0.667,48.4,0.692,0.308,0.601,0.141,0.255,0.137,0.144,0.16,0.46,0.506,0.494,0.763,0.237,0.563,0.437,4,4,8,8,15,2,29,1,2,30,9,24,17,10,16,15,27,4,23,8,11/10/2022
1610612738,Boston Celtics,11,8,3,0.727,48.9,0.524,0.476,0.43,0.067,0.4,0.113,0.17,0.136,0.363,0.484,0.516,0.856,0.144,0.626,0.374,19,4,2,4,5,30,1,30,19,1,21,10,30,30,21,10,9,22,11,20,11/10/2022
1610612751,Brooklyn Nets,12,5,7,0.417,48.4,0.618,0.382,0.518,0.114,0.312,0.128,0.17,0.163,0.404,0.573,0.427,0.797,0.203,0.637,0.363,4,16,18,18,15,16,15,15,4,19,14,9,13,24,6,25,21,10,9,22,11/10/2022
1610612766,Charlotte Hornets,13,3,10,0.231,49.2,0.64,0.36,0.546,0.077,0.305,0.127,0.149,0.166,0.469,0.555,0.445,0.86,0.14,0.638,0.362,1,26,29,28,4,7,24,9,16,22,15,22,9,8,8,23,8,23,8,23,11/10/2022
1610612741,Chicago Bulls,13,6,7,0.462,48.0,0.661,0.339,0.529,0.151,0.288,0.124,0.183,0.189,0.378,0.488,0.512,0.921,0.079,0.603,0.397,1,12,18,15,23,3,28,11,1,25,16,4,3,29,19,12,2,29,16,15,11/10/2022
1610612739,Cleveland Cavaliers,11,8,3,0.727,49.4,0.621,0.379,0.493,0.058,0.339,0.101,0.168,0.16,0.435,0.554,0.446,0.71,0.29,0.603,0.397,19,4,2,4,1,13,18,20,24,13,27,11,18,15,9,22,29,2,17,14,11/10/2022
1610612742,Dallas Mavericks,11,6,5,0.545,48.9,0.542,0.458,0.458,0.043,0.362,0.093,0.179,0.173,0.415,0.397,0.603,0.699,0.301,0.501,0.499,19,12,10,12,5,29,2,28,29,7,29,6,7,20,30,1,30,1,30,1,11/10/2022
1610612743,Denver Nuggets,11,8,3,0.727,48.0,0.639,0.361,0.525,0.081,0.341,0.155,0.134,0.16,0.444,0.602,0.398,0.781,0.219,0.656,0.344,19,4,2,4,23,8,23,12,12,12,3,30,19,12,4,27,25,6,6,25,11/10/2022
1610612765,Detroit Pistons,12,3,9,0.25,48.0,0.62,0.38,0.493,0.097,0.305,0.103,0.201,0.137,0.396,0.425,0.575,0.848,0.152,0.549,0.451,4,26,26,26,23,14,17,19,8,21,26,1,29,25,29,2,11,20,27,4,11/10/2022
1610612744,Golden State Warriors,11,4,7,0.364,48.5,0.547,0.453,0.479,0.098,0.374,0.1,0.147,0.171,0.381,0.608,0.392,0.783,0.217,0.668,0.332,19,23,18,24,12,27,4,23,6,4,28,23,8,27,1,30,24,7,4,27,11/10/2022
1610612745,Houston Rockets,12,2,10,0.167,48.0,0.592,0.408,0.472,0.033,0.354,0.107,0.175,0.165,0.438,0.449,0.551,0.776,0.224,0.558,0.442,4,29,29,30,23,22,9,25,30,10,22,7,11,13,25,6,26,5,25,6,11/10/2022
1610612754,Indiana Pacers,11,5,6,0.455,48.0,0.556,0.444,0.45,0.06,0.388,0.154,0.162,0.141,0.389,0.603,0.397,0.82,0.18,0.683,0.317,19,16,13,16,23,26,5,29,21,2,4,15,26,26,3,28,18,13,2,29,11/10/2022
1610612746,LA Clippers,12,7,5,0.583,48.0,0.61,0.39,0.546,0.115,0.311,0.132,0.143,0.166,0.432,0.443,0.557,0.815,0.185,0.545,0.455,4,10,10,10,23,19,12,8,3,20,12,25,10,17,26,5,19,12,28,3,11/10/2022
1610612747,Los Angeles Lakers,11,2,9,0.182,48.5,0.646,0.354,0.572,0.059,0.261,0.17,0.167,0.147,0.513,0.51,0.49,0.825,0.175,0.584,0.416,19,29,26,29,12,6,25,4,23,28,2,13,24,1,15,16,16,15,20,11,11/10/2022
1610612763,Memphis Grizzlies,12,8,4,0.667,48.8,0.628,0.372,0.518,0.044,0.343,0.142,0.139,0.149,0.474,0.471,0.529,0.756,0.244,0.558,0.442,4,4,8,8,9,12,19,14,28,11,5,27,22,7,22,9,28,3,24,7,11/10/2022
