TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Date
1610612737,Atlanta Hawks,11,6,5,0.545,528.0,115.5,117.0,112.6,114.1,3.0,2.9,0.626,1.71,18.5,0.318,0.704,0.51,0.152,0.551,0.597,104.1,102.77,85.64,1131,0.518,9,10,12,12,16,6,21,10,12,18,12,7,20,14,21,8,6,3,8,11/16/2023
1610612738,Boston Celtics,11,9,2,0.818,533.0,117.8,120.0,104.8,106.6,13.0,13.4,0.583,1.92,18.0,0.298,0.739,0.528,0.131,0.568,0.601,100.3,98.52,82.1,1094,0.565,9,1,1,1,12,3,2,1,24,5,18,14,4,3,5,4,5,25,1,11/16/2023
1610612751,Brooklyn Nets,12,6,6,0.5,576.0,112.5,114.8,111.9,114.3,0.6,0.5,0.609,1.85,18.4,0.302,0.739,0.523,0.14,0.551,0.578,101.4,99.29,82.74,1194,0.499,2,10,15,15,4,9,22,15,17,10,13,12,3,6,11,7,14,20,17,11/16/2023
1610612766,Charlotte Hornets,10,3,7,0.3,480.0,111.6,113.4,117.0,120.3,-5.4,-6.9,0.577,1.71,17.6,0.339,0.713,0.522,0.145,0.529,0.564,103.6,101.35,84.46,1014,0.471,27,24,21,24,29,11,30,27,25,19,20,3,16,7,18,21,20,10,26,11/16/2023
1610612741,Chicago Bulls,12,4,8,0.333,586.0,107.7,109.1,110.6,112.8,-2.9,-3.7,0.548,1.88,16.3,0.273,0.68,0.467,0.118,0.5,0.538,99.4,97.76,81.47,1193,0.471,2,22,25,23,2,25,17,22,30,7,29,21,28,28,1,29,28,27,25,11/16/2023
1610612739,Cleveland Cavaliers,11,5,6,0.455,528.0,109.9,110.7,109.0,112.3,0.9,-1.5,0.595,1.7,17.6,0.269,0.693,0.486,0.141,0.532,0.569,101.8,99.86,83.22,1098,0.502,9,18,15,18,16,20,16,19,19,20,19,22,22,20,12,19,18,17,16,11/16/2023
1610612742,Dallas Mavericks,12,9,3,0.75,576.0,118.2,120.5,114.0,116.2,4.2,4.3,0.596,2.03,18.4,0.261,0.692,0.477,0.124,0.579,0.608,104.2,102.25,85.21,1229,0.511,2,1,3,3,4,2,25,8,18,3,15,25,24,25,3,2,3,4,12,11/16/2023
1610612743,Denver Nuggets,11,9,2,0.818,528.0,114.6,117.7,107.6,108.6,7.0,9.0,0.652,2.19,20.8,0.298,0.718,0.516,0.136,0.57,0.591,99.3,97.55,81.29,1070,0.551,9,1,1,1,16,5,6,2,6,2,1,13,12,10,7,3,8,28,2,11/16/2023
1610612765,Detroit Pistons,12,2,10,0.167,576.0,107.4,110.0,113.2,114.5,-5.8,-4.5,0.672,1.6,19.4,0.324,0.731,0.527,0.174,0.528,0.564,102.4,100.54,83.78,1206,0.473,2,28,30,30,4,23,23,24,2,23,4,5,5,4,29,22,21,13,24,11/16/2023
1610612744,Golden State Warriors,13,6,7,0.462,624.0,110.1,112.4,110.0,111.8,0.1,0.5,0.669,1.81,18.7,0.332,0.719,0.518,0.15,0.517,0.554,102.1,100.23,83.53,1303,0.495,1,10,21,17,1,15,12,14,3,12,9,4,11,9,20,24,24,15,19,11/16/2023
