TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,Date
1610612737,Atlanta Hawks,11,6,5,0.545,528.0,0.551,0.297,0.152,0.318,0.558,0.244,0.155,0.296,9,10,12,12,16,8,5,21,7,23,10,9,20,11/16/2023
1610612738,Boston Celtics,11,9,2,0.818,533.0,0.568,0.239,0.131,0.298,0.506,0.225,0.122,0.261,9,1,1,1,12,4,19,5,14,3,3,28,4,11/16/2023
1610612751,Brooklyn Nets,12,6,6,0.5,576.0,0.551,0.209,0.14,0.302,0.531,0.233,0.117,0.261,2,10,15,15,4,7,28,11,12,13,6,30,3,11/16/2023
1610612766,Charlotte Hornets,10,3,7,0.3,480.0,0.529,0.269,0.145,0.339,0.568,0.296,0.134,0.287,27,24,21,24,29,21,11,18,3,29,29,23,16,11/16/2023
1610612741,Chicago Bulls,12,4,8,0.333,586.0,0.5,0.228,0.118,0.273,0.548,0.267,0.171,0.32,2,22,25,23,2,29,24,1,21,21,20,3,28,11/16/2023
1610612739,Cleveland Cavaliers,11,5,6,0.455,528.0,0.532,0.273,0.141,0.269,0.527,0.275,0.147,0.307,9,18,15,18,16,19,9,12,22,8,24,14,22,11/16/2023
1610612742,Dallas Mavericks,12,9,3,0.75,576.0,0.579,0.29,0.124,0.261,0.561,0.232,0.146,0.308,2,1,3,3,4,2,6,3,25,26,5,15,24,11/16/2023
1610612743,Denver Nuggets,11,9,2,0.818,528.0,0.57,0.216,0.136,0.298,0.506,0.246,0.128,0.282,9,1,1,1,16,3,26,7,13,4,12,26,12,11/16/2023
1610612765,Detroit Pistons,12,2,10,0.167,576.0,0.528,0.227,0.174,0.324,0.519,0.329,0.121,0.269,2,28,30,30,4,22,25,29,5,6,30,29,5,11/16/2023
1610612744,Golden State Warriors,13,6,7,0.462,624.0,0.517,0.252,0.15,0.332,0.528,0.293,0.14,0.281,1,10,21,17,1,24,18,20,4,9,28,17,11,11/16/2023
1610612745,Houston Rockets,9,6,3,0.667,437.0,0.543,0.257,0.129,0.274,0.518,0.277,0.145,0.272,30,10,3,6,30,14,16,4,20,5,25,16,7,11/16/2023
1610612754,Indiana Pacers,11,7,4,0.636,528.0,0.582,0.212,0.124,0.286,0.545,0.284,0.129,0.308,9,8,7,9,16,1,27,2,18,19,26,24,23,11/16/2023
1610612746,LA Clippers,10,3,7,0.3,485.0,0.55,0.261,0.158,0.305,0.53,0.27,0.16,0.313,27,24,21,24,28,9,14,25,11,11,22,6,26,11/16/2023
1610612747,Los Angeles Lakers,12,6,6,0.5,586.0,0.545,0.303,0.143,0.234,0.539,0.196,0.14,0.296,2,10,15,15,2,12,4,16,29,18,1,18,19,11/16/2023
1610612763,Memphis Grizzlies,11,2,9,0.182,533.0,0.505,0.203,0.147,0.29,0.563,0.284,0.17,0.295,9,28,28,28,12,28,29,19,16,27,27,4,18,11/16/2023
1610612748,Miami Heat,12,8,4,0.667,576.0,0.534,0.263,0.138,0.247,0.553,0.227,0.171,0.295,2,4,7,6,4,18,13,8,26,22,4,2,17,11/16/2023
1610612749,Milwaukee Bucks,11,7,4,0.636,528.0,0.563,0.328,0.144,0.244,0.534,0.241,0.138,0.308,9,8,7,9,16,6,1,17,27,15,9,20,25,11/16/2023
1610612750,Minnesota Timberwolves,11,8,3,0.727,533.0,0.545,0.272,0.153,0.289,0.499,0.21,0.151,0.283,9,4,3,4,12,11,10,22,17,1,2,10,13,11/16/2023
1610612740,New Orleans Pelicans,11,5,6,0.455,528.0,0.525,0.275,0.141,0.262,0.531,0.252,0.137,0.314,9,18,15,18,16,23,8,14,24,12,15,21,27,11/16/2023
1610612752,New York Knicks,11,6,5,0.545,528.0,0.508,0.257,0.138,0.352,0.545,0.235,0.15,0.23,9,10,12,12,16,26,15,9,1,20,7,13,1,11/16/2023
1610612760,Oklahoma City Thunder,12,8,4,0.667,576.0,0.566,0.265,0.142,0.234,0.504,0.258,0.158,0.343,2,4,7,6,4,5,12,15,28,2,17,7,29,11/16/2023
1610612753,Orlando Magic,11,6,5,0.545,528.0,0.506,0.319,0.162,0.319,0.538,0.272,0.174,0.272,9,10,12,12,16,27,2,28,6,17,23,1,8,11/16/2023
1610612755,Philadelphia 76ers,11,8,3,0.727,528.0,0.545,0.309,0.135,0.311,0.53,0.268,0.138,0.269,9,4,3,4,16,13,3,6,9,10,21,19,6,11/16/2023
1610612756,Phoenix Suns,11,5,6,0.455,533.0,0.541,0.283,0.161,0.311,0.519,0.247,0.127,0.285,9,18,15,18,12,15,7,27,10,7,13,27,14,11/16/2023
1610612757,Portland Trail Blazers,11,3,8,0.273,538.0,0.489,0.236,0.159,0.297,0.536,0.261,0.156,0.301,9,24,25,26,9,30,20,26,15,16,18,8,21,11/16/2023
1610612758,Sacramento Kings,10,6,4,0.6,490.0,0.536,0.255,0.139,0.282,0.558,0.256,0.15,0.248,27,10,7,11,27,17,17,10,19,24,16,11,2,11/16/2023
1610612759,San Antonio Spurs,11,3,8,0.273,538.0,0.531,0.193,0.156,0.264,0.582,0.25,0.135,0.285,9,24,25,26,9,20,30,24,23,30,14,22,15,11/16/2023
1610612761,Toronto Raptors,11,5,6,0.455,538.0,0.513,0.233,0.153,0.313,0.532,0.246,0.15,0.281,9,18,15,18,9,25,21,23,8,14,11,12,10,11/16/2023
1610612762,Utah Jazz,11,4,7,0.364,528.0,0.537,0.229,0.177,0.345,0.559,0.266,0.128,0.275,9,22,21,22,16,16,23,30,2,25,19,25,9,11/16/2023
1610612764,Washington Wizards,11,2,9,0.182,528.0,0.548,0.233,0.141,0.225,0.563,0.239,0.161,0.343,9,28,28,28,16,10,22,13,30,28,8,5,30,11/16/2023
1610612737,Atlanta Hawks,12,6,6,0.5,576.0,0.548,0.3,0.15,0.323,0.558,0.25,0.156,0.306,3,14,15,15,8,10,5,20,6,24,13,9,22,11/17/2023
1610612738,Boston Celtics,12,10,2,0.833,581.0,0.566,0.227,0.129,0.289,0.51,0.22,0.122,0.256,3,1,1,1,7,4,24,4,16,3,3,28,3,11/17/2023
1610612751,Brooklyn Nets,12,6,6,0.5,576.0,0.551,0.209,0.14,0.302,0.531,0.233,0.117,0.261,3,14,15,15,8,8,28,13,10,13,7,30,4,11/17/2023
1610612766,Charlotte Hornets,11,3,8,0.273,528.0,0.521,0.266,0.142,0.324,0.578,0.283,0.134,0.276,22,25,23,25,27,24,12,16,5,29,25,23,14,11/17/2023
1610612741,Chicago Bulls,13,4,9,0.308,634.0,0.5,0.232,0.122,0.269,0.549,0.269,0.173,0.317,1,22,25,24,1,29,21,1,20,21,22,2,28,11/17/2023
1610612739,Cleveland Cavaliers,12,6,6,0.5,576.0,0.535,0.271,0.14,0.263,0.523,0.266,0.15,0.311,3,14,15,15,8,18,10,12,22,7,20,12,27,11/17/2023
1610612742,Dallas Mavericks,12,9,3,0.75,576.0,0.579,0.29,0.124,0.261,0.561,0.232,0.146,0.308,3,2,2,2,8,2,7,3,23,25,5,15,25,11/17/2023
1610612743,Denver Nuggets,11,8,3,0.727,528.0,0.564,0.215,0.137,0.293,0.513,0.248,0.127,0.266,22,4,2,4,27,6,26,7,14,4,12,25,6,11/17/2023
1610612765,Detroit Pistons,13,2,11,0.154,624.0,0.524,0.222,0.174,0.327,0.523,0.324,0.121,0.264,1,28,30,30,2,23,25,30,4,6,30,29,5,11/17/2023
1610612744,Golden State Warriors,12,6,6,0.5,576.0,0.527,0.25,0.153,0.33,0.531,0.303,0.136,0.271,3,14,15,15,8,22,18,24,3,12,29,20,10,11/17/2023
1610612745,Houston Rockets,10,6,4,0.6,485.0,0.537,0.254,0.133,0.271,0.518,0.286,0.145,0.269,30,14,6,11,30,17,17,5,19,5,28,17,8,11/17/2023
1610612754,Indiana Pacers,11,7,4,0.636,528.0,0.582,0.212,0.124,0.286,0.545,0.284,0.129,0.308,22,9,6,9,27,1,27,2,18,20,26,24,24,11/17/2023
1610612746,LA Clippers,11,4,7,0.364,533.0,0.547,0.27,0.156,0.299,0.526,0.266,0.161,0.307,22,22,21,22,23,11,11,26,13,8,19,5,23,11/17/2023
1610612747,Los Angeles Lakers,12,7,5,0.583,586.0,0.55,0.308,0.148,0.23,0.527,0.202,0.145,0.302,3,9,12,12,3,9,4,19,29,10,1,16,20,11/17/2023
1610612763,Memphis Grizzlies,11,2,9,0.182,533.0,0.505,0.203,0.147,0.29,0.563,0.284,0.17,0.295,22,28,25,28,23,28,29,18,15,26,27,4,18,11/17/2023
1610612748,Miami Heat,12,8,4,0.667,576.0,0.534,0.263,0.138,0.247,0.553,0.227,0.171,0.295,3,4,6,6,8,19,14,8,26,22,4,3,17,11/17/2023
1610612749,Milwaukee Bucks,12,8,4,0.667,576.0,0.573,0.312,0.143,0.237,0.527,0.241,0.136,0.298,3,4,6,6,8,3,2,17,27,9,10,21,19,11/17/2023
1610612750,Minnesota Timberwolves,11,8,3,0.727,533.0,0.545,0.272,0.153,0.289,0.499,0.21,0.151,0.283,22,4,2,4,23,14,9,23,17,1,2,10,16,11/17/2023
