TEAM_ID,TEAM_NAME_base,GP_base,W_base,L_base,W_PCT_base,MIN_base,FGM_base,FGA_base,FG_PCT_base,FG3M_base,FG3A_base,FG3_PCT_base,FTM_base,FTA_base,FT_PCT_base,OREB_base,DREB_base,REB_base,AST_base,TOV_base,STL_base,BLK_base,BLKA_base,PF_base,PFD_base,PTS_base,PLUS_MINUS_base,GP_RANK_base,W_RANK_base,L_RANK_base,W_PCT_RANK_base,MIN_RANK_base,FGM_RANK_base,FGA_RANK_base,FG_PCT_RANK_base,FG3M_RANK_base,FG3A_RANK_base,FG3_PCT_RANK_base,FTM_RANK_base,FTA_RANK_base,FT_PCT_RANK_base,OREB_RANK_base,DREB_RANK_base,REB_RANK_base,AST_RANK_base,TOV_RANK_base,STL_RANK_base,BLK_RANK_base,BLKA_RANK_base,PF_RANK_base,PFD_RANK_base,PTS_RANK_base,PLUS_MINUS_RANK_base,Date,E_OFF_RATING_advanced,OFF_RATING_advanced,E_DEF_RATING_advanced,DEF_RATING_advanced,E_NET_RATING_advanced,NET_RATING_advanced,AST_PCT_advanced,AST_TO_advanced,AST_RATIO_advanced,OREB_PCT_advanced,DREB_PCT_advanced,REB_PCT_advanced,TM_TOV_PCT_advanced,EFG_PCT_advanced,TS_PCT_advanced,E_PACE_advanced,PACE_advanced,PACE_PER40_advanced,POSS_advanced,PIE_advanced,GP_RANK_advanced,W_RANK_advanced,L_RANK_advanced,W_PCT_RANK_advanced,MIN_RANK_advanced,OFF_RATING_RANK_advanced,DEF_RATING_RANK_advanced,NET_RATING_RANK_advanced,AST_PCT_RANK_advanced,AST_TO_RANK_advanced,AST_RATIO_RANK_advanced,OREB_PCT_RANK_advanced,DREB_PCT_RANK_advanced,REB_PCT_RANK_advanced,TM_TOV_PCT_RANK_advanced,EFG_PCT_RANK_advanced,TS_PCT_RANK_advanced,PACE_RANK_advanced,PIE_RANK_advanced,PTS_OFF_TOV_misc,PTS_2ND_CHANCE_misc,PTS_FB_misc,PTS_PAINT_misc,OPP_PTS_OFF_TOV_misc,OPP_PTS_2ND_CHANCE_misc,OPP_PTS_FB_misc,OPP_PTS_PAINT_misc,GP_RANK_misc,W_RANK_misc,L_RANK_misc,W_PCT_RANK_misc,MIN_RANK_misc,PTS_OFF_TOV_RANK_misc,PTS_2ND_CHANCE_RANK_misc,PTS_FB_RANK_misc,PTS_PAINT_RANK_misc,OPP_PTS_OFF_TOV_RANK_misc,OPP_PTS_2ND_CHANCE_RANK_misc,OPP_PTS_FB_RANK_misc,OPP_PTS_PAINT_RANK_misc,EFG_PCT_four_factors,FTA_RATE_four_factors,TM_TOV_PCT_four_factors,OREB_PCT_four_factors,OPP_EFG_PCT_four_factors,OPP_FTA_RATE_four_factors,OPP_TOV_PCT_four_factors,OPP_OREB_PCT_four_factors,GP_RANK_four_factors,W_RANK_four_factors,L_RANK_four_factors,W_PCT_RANK_four_factors,MIN_RANK_four_factors,EFG_PCT_RANK_four_factors,FTA_RATE_RANK_four_factors,TM_TOV_PCT_RANK_four_factors,OREB_PCT_RANK_four_factors,OPP_EFG_PCT_RANK_four_factors,OPP_FTA_RATE_RANK_four_factors,OPP_TOV_PCT_RANK_four_factors,OPP_OREB_PCT_RANK_four_factors,PCT_FGA_2PT_scoring,PCT_FGA_3PT_scoring,PCT_PTS_2PT_scoring,PCT_PTS_2PT_MR_scoring,PCT_PTS_3PT_scoring,PCT_PTS_FB_scoring,PCT_PTS_FT_scoring,PCT_PTS_OFF_TOV_scoring,PCT_PTS_PAINT_scoring,PCT_AST_2PM_scoring,PCT_UAST_2PM_scoring,PCT_AST_3PM_scoring,PCT_UAST_3PM_scoring,PCT_AST_FGM_scoring,PCT_UAST_FGM_scoring,GP_RANK_scoring,W_RANK_scoring,L_RANK_scoring,W_PCT_RANK_scoring,MIN_RANK_scoring,PCT_FGA_2PT_RANK_scoring,PCT_FGA_3PT_RANK_scoring,PCT_PTS_2PT_RANK_scoring,PCT_PTS_2PT_MR_RANK_scoring,PCT_PTS_3PT_RANK_scoring,PCT_PTS_FB_RANK_scoring,PCT_PTS_FT_RANK_scoring,PCT_PTS_OFF_TOV_RANK_scoring,PCT_PTS_PAINT_RANK_scoring,PCT_AST_2PM_RANK_scoring,PCT_UAST_2PM_RANK_scoring,PCT_AST_3PM_RANK_scoring,PCT_UAST_3PM_RANK_scoring,PCT_AST_FGM_RANK_scoring,PCT_UAST_FGM_RANK_scoring,OPP_FGM_opponent,OPP_FGA_opponent,OPP_FG_PCT_opponent,OPP_FG3M_opponent,OPP_FG3A_opponent,OPP_FG3_PCT_opponent,OPP_FTM_opponent,OPP_FTA_opponent,OPP_FT_PCT_opponent,OPP_OREB_opponent,OPP_DREB_opponent,OPP_REB_opponent,OPP_AST_opponent,OPP_TOV_opponent,OPP_STL_opponent,OPP_BLK_opponent,OPP_BLKA_opponent,OPP_PF_opponent,OPP_PFD_opponent,OPP_PTS_opponent,PLUS_MINUS_opponent,GP_RANK_opponent,W_RANK_opponent,L_RANK_opponent,W_PCT_RANK_opponent,MIN_RANK_opponent,OPP_FGM_RANK_opponent,OPP_FGA_RANK_opponent,OPP_FG_PCT_RANK_opponent,OPP_FG3M_RANK_opponent,OPP_FG3A_RANK_opponent,OPP_FG3_PCT_RANK_opponent,OPP_FTM_RANK_opponent,OPP_FTA_RANK_opponent,OPP_FT_PCT_RANK_opponent,OPP_OREB_RANK_opponent,OPP_DREB_RANK_opponent,OPP_REB_RANK_opponent,OPP_AST_RANK_opponent,OPP_TOV_RANK_opponent,OPP_STL_RANK_opponent,OPP_BLK_RANK_opponent,OPP_BLKA_RANK_opponent,OPP_PF_RANK_opponent,OPP_PFD1_opponent,OPP_PTS_RANK_opponent,PLUS_MINUS_RANK_opponent,DEF_RATING_defense,DREB_defense,DREB_PCT_defense,STL_defense,BLK_defense,OPP_PTS_OFF_TOV_defense,OPP_PTS_2ND_CHANCE_defense,OPP_PTS_FB_defense,OPP_PTS_PAINT_defense,GP_RANK_defense,W_RANK_defense,L_RANK_defense,W_PCT_RANK_defense,MIN_RANK_defense,DEF_RATING_RANK_defense,DREB_RANK_defense,DREB_PCT_RANK_defense,STL_RANK_defense,BLK_RANK_defense,OPP_PTS_OFF_TOV_RANK_defense,OPP_PTS_2ND_CHANCE_RANK_defense,OPP_PTS_FB_RANK_defense,OPP_PTS_PAINT_RANK_defense
1610612737,Atlanta Hawks,69,30,39,0.435,3332.0,2968,6408,0.463,936,2589,0.362,1338,1662,0.805,886,2201,3087,1812,915.0,521,317,395,1276,1370,8210,-150.0,23,21,21,21,26,15,2,21,9,9,18,4,6,7,1,27,9,19,12,15,24,23,10,7,6,21,2024-03-22,114.5,116.9,117.1,118.9,-2.6,-2.1,0.611,1.98,18.2,0.313,0.709,0.502,0.13,0.536,0.575,103.1,101.24,84.36,7025,0.483,23,21,21,21,26,11,28,21,18,18,22,5,20,14,11,19,17,4,23,1193.0,1123.0,962.0,3506.0,1139.0,986.0,1154.0,3736.0,23,21,21,19,26,9,2,20,16,15,20,28,24,0.536,0.259,0.13,0.313,0.573,0.245,0.139,0.291,23,21,21,21,26,19,11,11,5,30,13,11,20,0.596,0.404,0.495,0.068,0.342,0.117,0.163,0.145,0.427,0.533,0.467,0.779,0.221,0.611,0.389,23,21,21,21,12,20,11,24,18,10,22,5,13,24,17,14,28,3,18,13,3090.0,6242.0,0.495,970.0,2513.0,0.386,1210.0,1531.0,0.79,756.0,2320.0,3076.0,1955.0,980.0,531.0,395.0,317.0,1370.0,1276.0,8360.0,150.0,23,21,21,21,26,24,18,28,27,21,28,19,13,22,18,17,17,24,10,19,23,24,24,21,26,21,118.9,2201,0.709,521,317,1139.0,986.0,1154.0,3736.0,23,21,21,21,26,28,27,20,15,24,15,20,28,24
1610612738,Boston Celtics,70,56,14,0.8,3385.0,3064,6310,0.486,1163,2981,0.39,1187,1469,0.808,748,2515,3263,1868,843.0,464,457,258,1160,1251,8478,822.0,3,1,1,1,5,4,7,9,1,1,2,17,22,6,13,1,1,13,2,28,2,1,2,29,2,1,2024-03-22,120.2,122.3,108.7,110.3,11.5,12.0,0.61,2.22,19.1,0.287,0.728,0.516,0.122,0.578,0.609,99.9,98.39,81.99,6934,0.556,3,1,1,1,5,1,2,1,19,3,14,13,7,5,2,1,2,18,1,1087.0,1017.0,1082.0,3284.0,930.0,939.0,907.0,3340.0,3,1,1,1,5,24,10,8,28,1,11,4,9,0.578,0.233,0.122,0.287,0.521,0.196,0.121,0.272,3,1,1,1,5,1,22,2,13,2,2,28,7,0.528,0.472,0.448,0.061,0.412,0.128,0.14,0.128,0.387,0.503,0.497,0.784,0.216,0.61,0.39,3,1,1,1,6,30,1,30,24,1,14,24,27,30,25,6,27,4,19,12,2898.0,6424.0,0.451,895.0,2574.0,0.348,965.0,1257.0,0.768,773.0,2264.0,3037.0,1728.0,838.0,436.0,258.0,457.0,1251.0,1160.0,7656.0,-822.0,3,1,1,1,5,13,27,2,14,25,2,1,1,4,22,11,14,5,30,2,1,2,2,29,6,1,110.3,2515,0.728,464,457,930.0,939.0,907.0,3340.0,3,1,1,1,5,2,1,7,28,2,1,11,4,9
1610612751,Brooklyn Nets,70,26,44,0.371,3380.0,2872,6285,0.457,950,2607,0.364,1101,1453,0.758,804,2262,3066,1842,908.0,489,350,341,1321,1276,7795,-182.0,3,23,23,23,11,24,11,28,6,8,15,25,24,27,6,21,14,17,11,23,15,12,15,21,24,22,2024-03-22,110.9,113.2,113.6,115.8,-2.6,-2.6,0.641,2.03,18.9,0.291,0.713,0.496,0.132,0.533,0.563,99.8,97.83,81.53,6889,0.484,3,23,23,23,11,21,20,22,13,14,18,11,18,18,12,22,26,23,21,1058.0,1020.0,968.0,3340.0,1072.0,972.0,1065.0,3370.0,3,23,23,19,11,27,9,19,23,9,19,25,11,0.533,0.231,0.132,0.291,0.546,0.249,0.131,0.287,3,23,23,23,11,22,24,12,11,15,17,22,18,0.585,0.415,0.493,0.065,0.366,0.124,0.141,0.136,0.428,0.536,0.464,0.854,0.146,0.641,0.359,3,23,23,23,14,23,8,25,21,5,16,21,22,22,14,17,15,16,13,18,2910.0,6165.0,0.472,909.0,2424.0,0.375,1248.0,1538.0,0.811,718.0,2391.0,3109.0,1778.0,901.0,471.0,341.0,350.0,1276.0,1321.0,7977.0,182.0,3,23,23,23,11,14,16,15,17,13,25,21,17,30,8,26,23,8,22,7,12,15,9,16,14,22,115.8,2262,0.713,489,350,1072.0,972.0,1065.0,3370.0,3,23,23,23,11,20,21,18,23,15,9,19,25,11
1610612766,Charlotte Hornets,69,17,52,0.246,3322.0,2772,6062,0.457,813,2309,0.352,998,1277,0.782,675,2146,2821,1688,954.0,476,313,354,1275,1210,7355,-694.0,23,27,27,27,28,27,25,27,26,21,26,30,30,14,24,29,30,28,18,26,25,15,8,30,30,29,2024-03-22,106.5,108.1,116.4,118.5,-9.8,-10.3,0.609,1.77,18.0,0.26,0.713,0.479,0.14,0.524,0.555,99.8,98.22,81.85,6801,0.445,23,27,27,27,28,29,26,30,21,26,25,26,19,29,21,28,28,20,29,1071.0,862.0,873.0,3346.0,1183.0,962.0,983.0,3634.0,23,27,27,19,28,26,26,25,22,23,15,12,22,0.524,0.211,0.14,0.26,0.568,0.247,0.14,0.287,23,27,27,27,28,28,30,21,26,29,16,10,19,0.619,0.381,0.533,0.078,0.332,0.119,0.136,0.146,0.455,0.516,0.484,0.834,0.166,0.609,0.391,23,27,27,27,21,12,19,9,11,17,21,27,12,10,22,9,22,9,21,10,2968.0,6031.0,0.492,919.0,2460.0,0.374,1194.0,1489.0,0.802,719.0,2420.0,3139.0,1941.0,949.0,492.0,354.0,313.0,1210.0,1275.0,8049.0,694.0,23,27,27,27,28,19,5,26,19,16,23,13,8,25,9,27,25,22,16,11,15,25,1,22,18,29,118.5,2146,0.713,476,313,1183.0,962.0,983.0,3634.0,23,27,27,27,28,26,29,19,26,25,23,15,12,22
1610612741,Chicago Bulls,70,34,36,0.486,3415.0,2922,6272,0.466,818,2284,0.358,1185,1493,0.794,780,2271,3051,1738,859.0,533,338,356,1322,1334,7847,-115.0,3,19,20,20,2,19,12,20,24,22,19,18,18,9,8,19,16,24,3,11,19,17,16,11,21,20,2024-03-22,112.0,113.6,113.0,115.5,-1.1,-1.8,0.595,2.02,18.0,0.29,0.715,0.499,0.124,0.531,0.566,98.7,97.0,80.84,6907,0.49,3,19,20,20,2,19,17,20,27,16,24,12,17,16,6,24,24,28,20,1198.0,974.0,861.0,3316.0,1071.0,952.0,928.0,3180.0,3,19,20,19,2,8,15,28,26,8,13,7,1,0.531,0.238,0.124,0.29,0.555,0.252,0.142,0.285,3,19,20,20,2,24,20,6,12,20,18,7,17,0.636,0.364,0.536,0.114,0.313,0.11,0.151,0.153,0.423,0.485,0.515,0.877,0.123,0.595,0.405,3,19,20,20,1,4,27,7,1,24,26,17,6,25,27,4,10,21,27,4,2878.0,6099.0,0.472,1011.0,2766.0,0.366,1195.0,1534.0,0.779,711.0,2350.0,3061.0,1956.0,980.0,470.0,356.0,338.0,1334.0,1322.0,7962.0,115.0,3,19,20,20,2,12,10,14,29,30,15,14,16,14,6,19,15,25,10,6,17,19,20,15,13,20,115.5,2271,0.715,533,338,1071.0,952.0,928.0,3180.0,3,19,20,20,2,17,19,17,11,19,8,13,7,1
1610612739,Cleveland Cavaliers,70,43,27,0.614,3385.0,2927,6125,0.478,950,2608,0.364,1110,1450,0.766,706,2385,3091,1939,936.0,513,338,354,1263,1331,7914,260.0,3,7,7,7,5,18,22,14,6,7,16,24,25,22,21,6,8,10,17,18,19,15,6,12,19,8,2024-03-22,113.2,114.9,108.7,111.0,4.5,3.8,0.662,2.07,19.9,0.277,0.723,0.505,0.136,0.555,0.585,99.5,97.72,81.44,6890,0.526,3,7,7,7,5,17,4,8,5,10,8,22,11,13,18,13,13,25,7,1143.0,977.0,1060.0,3510.0,1171.0,899.0,970.0,3254.0,3,7,7,1,5,13,13,10,15,20,4,10,5,0.555,0.237,0.136,0.277,0.526,0.244,0.136,0.277,3,7,7,7,5,13,21,18,22,3,12,17,11,0.574,0.426,0.5,0.056,0.36,0.134,0.14,0.144,0.444,0.576,0.424,0.843,0.157,0.662,0.338,3,7,7,7,6,24,7,21,28,7,8,23,15,14,7,24,18,13,5,26,2814.0,6156.0,0.457,849.0,2355.0,0.361,1177.0,1504.0,0.783,714.0,2283.0,2997.0,1719.0,937.0,532.0,355.0,338.0,1331.0,1263.0,7654.0,-260.0,3,7,7,7,5,6,15,4,8,9,10,10,11,16,7,12,12,4,18,20,16,19,19,25,5,8,111.0,2385,0.723,513,338,1171.0,899.0,970.0,3254.0,3,7,7,7,5,4,6,11,18,19,20,4,10,5
1610612742,Dallas Mavericks,70,41,29,0.586,3360.0,3033,6289,0.482,1016,2755,0.369,1223,1613,0.758,688,2281,2969,1794,867.0,478,330,285,1306,1449,8305,112.0,3,10,11,11,22,8,9,12,3,2,12,14,8,26,22,16,23,20,5,24,22,2,14,2,5,14,2024-03-22,115.7,117.7,113.8,116.2,1.9,1.5,0.591,2.07,18.4,0.262,0.703,0.483,0.123,0.563,0.593,102.7,100.76,83.96,7057,0.502,3,10,11,11,22,6,21,15,28,11,21,25,24,27,3,8,8,9,16,1146.0,940.0,1092.0,3348.0,1070.0,1003.0,1108.0,3642.0,3,10,11,1,22,12,19,6,21,7,21,26,23,0.563,0.256,0.123,0.262,0.553,0.246,0.136,0.297,3,10,11,11,22,8,12,3,25,19,14,16,24,0.562,0.438,0.486,0.083,0.367,0.131,0.147,0.138,0.403,0.516,0.484,0.742,0.258,0.591,0.409,3,10,11,11,29,28,3,27,7,4,9,19,21,28,21,10,29,2,28,3,3037.0,6329.0,0.48,921.0,2509.0,0.367,1198.0,1560.0,0.768,778.0,2375.0,3153.0,1942.0,961.0,506.0,285.0,330.0,1449.0,1306.0,8193.0,-112.0,3,10,11,11,22,21,21,20,20,20,19,15,20,5,25,24,27,23,14,15,2,22,29,17,21,14,116.2,2281,0.703,478,330,1070.0,1003.0,1108.0,3642.0,3,10,11,11,22,21,16,24,24,22,7,21,26,23
1610612743,Denver Nuggets,70,49,21,0.7,3365.0,3079,6203,0.496,801,2159,0.371,1067,1398,0.763,745,2340,3085,2046,878.0,491,381,330,1271,1265,8026,320.0,3,2,3,3,18,3,18,4,28,30,11,29,29,24,15,11,10,3,6,22,11,9,7,27,14,5,2024-03-22,115.5,117.7,111.3,112.9,4.1,4.8,0.665,2.33,20.8,0.299,0.718,0.514,0.129,0.561,0.589,98.9,97.33,81.11,6820,0.53,3,2,3,3,18,7,10,5,4,1,2,7,15,6,8,10,11,27,4,1078.0,940.0,979.0,3746.0,1132.0,915.0,947.0,3546.0,3,2,3,1,18,25,19,17,6,14,5,8,18,0.561,0.225,0.129,0.299,0.529,0.253,0.125,0.282,3,2,3,3,18,10,26,8,7,4,20,26,15,0.652,0.348,0.568,0.101,0.299,0.122,0.133,0.134,0.467,0.596,0.404,0.86,0.14,0.665,0.335,3,2,3,3,24,1,30,1,3,28,18,28,24,6,3,28,13,18,4,27,2857.0,6143.0,0.465,787.0,2188.0,0.36,1205.0,1554.0,0.775,759.0,2189.0,2948.0,1793.0,853.0,495.0,330.0,381.0,1265.0,1271.0,7706.0,-320.0,3,2,3,3,18,10,12,8,2,2,9,17,19,8,19,7,8,9,27,12,9,11,4,24,7,5,112.9,2340,0.718,491,381,1132.0,915.0,947.0,3546.0,3,2,3,3,18,10,11,15,22,11,14,5,8,18
1610612765,Detroit Pistons,70,12,58,0.171,3375.0,2908,6207,0.469,780,2215,0.352,1204,1534,0.785,761,2315,3076,1832,1085.0,433,333,418,1494,1267,7800,-615.0,3,29,29,29,14,20,17,19,29,27,25,15,14,12,11,13,12,18,29,30,21,26,29,26,23,28,2024-03-22,108.2,110.1,116.6,118.7,-8.3,-8.6,0.63,1.69,18.5,0.284,0.734,0.506,0.153,0.531,0.567,102.6,100.82,84.02,7087,0.452,3,29,29,29,14,26,27,28,16,27,20,15,3,12,29,23,23,8,27,988.0,964.0,1014.0,3592.0,1392.0,945.0,1003.0,3814.0,3,29,29,19,14,30,16,13,11,30,12,16,27,0.531,0.247,0.153,0.284,0.558,0.286,0.119,0.266,3,29,29,29,14,23,15,29,15,22,28,29,3,0.643,0.357,0.546,0.085,0.3,0.13,0.154,0.127,0.461,0.55,0.45,0.847,0.153,0.63,0.37,3,29,29,29,18,3,28,3,5,27,11,14,29,8,10,21,17,14,16,15,3065.0,6249.0,0.49,846.0,2268.0,0.373,1439.0,1785.0,0.806,660.0,2311.0,2971.0,1891.0,844.0,628.0,418.0,333.0,1267.0,1494.0,8415.0,615.0,3,29,29,29,14,23,19,25,7,5,22,29,29,28,4,14,10,20,28,30,26,21,5,2,27,28,118.7,2315,0.734,433,333,1392.0,945.0,1003.0,3814.0,3,29,29,29,14,27,13,3,30,21,30,12,16,27
1610612744,Golden State Warriors,69,36,33,0.522,3342.0,3018,6382,0.473,1024,2722,0.376,1114,1432,0.778,865,2369,3234,2013,982.0,468,301,349,1365,1286,8174,110.0,23,18,18,18,24,9,4,16,2,4,9,23,26,17,4,9,2,5,22,27,27,14,21,20,9,15,2024-03-22,114.7,117.0,113.4,115.6,1.2,1.4,0.667,2.05,19.9,0.32,0.722,0.52,0.141,0.553,0.583,102.3,100.26,83.55,6986,0.506,23,18,18,18,24,9,19,16,3,12,7,3,12,3,22,14,14,11,14,1096.0,1102.0,852.0,3358.0,1172.0,928.0,1041.0,3488.0,23,18,18,1,24,21,4,29,19,21,9,20,16,0.553,0.224,0.141,0.32,0.543,0.254,0.128,0.278,23,18,18,18,24,14,27,22,3,13,21,24,12,0.573,0.427,0.488,0.077,0.376,0.104,0.136,0.134,0.411,0.594,0.406,0.81,0.19,0.667,0.333,23,18,18,18,4,25,6,26,13,3,30,26,25,26,5,26,25,6,3,28,2945.0,6268.0,0.47,912.0,2546.0,0.358,1262.0,1590.0,0.794,753.0,2242.0,2995.0,1854.0,895.0,534.0,349.0,301.0,1286.0,1365.0,8064.0,-110.0,23,18,18,18,24,17,20,11,18,23,8,22,22,23,17,9,11,13,24,21,14,27,11,9,19,15,115.6,2369,0.722,468,301,1172.0,928.0,1041.0,3488.0,23,18,18,18,24,19,9,12,27,27,21,9,20,16
